accX,accY,accZ
-25,146,-94
12,161,-106
97,142,-89
57,104,-78
-2,109,-93
97,102,-82
120,110,-63
21,69,-60
123,59,-79
144,35,-83
54,-22,-62
131,-81,-68
108,-55,-71
79,-75,-79
139,-173,-80
81,-121,-70
134,-191,-88
67,-212,-81
140,-216,-65
113,-271,-61
112,-293,-37
166,-322,-30
131,-328,2
179,-346,-1
160,-336,35
191,-355,67
230,-375,99
206,-343,133
224,-386,174
260,-478,291
50,-266,272
232,-529,369
-79,-317,452
-234,-159,448
143,-316,456
79,-406,511
-311,-164,562
-169,-155,598
4,-276,596
-243,-244,641
-354,-50,658
-205,-144,636
-109,-327,637
-278,-186,673
-383,-62,678
-91,-171,661
-151,-258,695
-324,-70,698
-100,-247,650
-279,-128,663
-84,-164,648
-162,-122,654
-117,-58,646
28,-121,614
-155,50,626
51,-72,620
-53,57,617
-44,67,597
95,15,589
-52,168,562
91,101,556
7,172,527
71,130,518
82,175,480
0,218,481
148,188,466
45,252,437
56,264,448
138,253,404
7,293,385
109,302,373
83,261,317
56,317,300
50,270,232
-10,332,222
31,270,132
-51,288,116
4,235,28
-42,243,76
43,168,-19
-63,206,-41
-3,138,-92
-58,165,-93
21,160,-92
-47,171,-108
35,134,-104
37,140,-94
59,73,-69
79,56,-63
77,28,-75
83,-74,-65
88,-33,-72
111,-167,-69
77,-169,-78
115,-208,-63
108,-247,-40
88,-329,-25
115,-327,-17
104,-303,-6
193,-344,48
207,-370,94
190,-360,137
149,-409,289
210,-531,403
-177,-155,461
-261,-188,614
-98,-357,648
-123,-186,623
-331,-25,711
-279,-148,713
-111,-240,630
-212,-50,657
-187,-85,659
-4,-185,628
-101,43,609
-74,73,603
-26,73,600
-26,151,572
114,89,537
41,144,503
51,167,467
134,213,454
4,282,432
65,305,389
99,297,348
25,333,287
65,281,229
11,310,212
-9,287,128
43,222,72
-33,214,11
19,192,-17
-18,164,-83
-27,187,-69
18,148,-89
-12,146,-92
24,126,-91
63,14,-90
50,57,-88
64,13,-71
92,-53,-63
79,-53,-64
95,-127,-69
81,-132,-65
94,-215,-44
83,-217,-50
105,-303,-34
96,-267,-32
111,-325,-17
113,-304,-2
128,-365,30
155,-336,57
150,-358,76
193,-358,114
173,-352,152
216,-453,228
31,-291,292
214,-490,350
-136,-146,441
41,-413,502
-213,-109,570
-76,-292,604
-306,-97,647
-244,-201,688
-160,-163,664
-264,-138,694
-171,-142,658
-167,-210,655
-269,-52,660
-56,-153,631
-211,8,665
-9,-97,601
-114,-55,629
-78,31,620
6,-40,594
-87,90,621
79,67,579
31,18,571
-15,170,590
100,71,516
-9,143,551
-9,196,534
120,157,486
61,124,481
22,240,481
125,206,446
54,203,434
44,271,443
141,258,407
71,237,387
40,309,411
88,325,365
90,261,326
83,274,311
49,286,329
45,345,303
92,301,278
24,271,242
-2,290,242
41,326,208
58,302,164
0,246,146
-13,273,136
42,287,107
24,258,80
-42,231,57
-44,221,52
0,235,39
-4,222,3
-23,188,-23
-66,178,-24
-27,213,-8
5,212,-27
12,182,-53
-60,160,-72
-57,191,-67
-6,186,-61
29,190,-73
18,157,-75
-33,164,-85
-36,173,-83
-7,183,-89
26,175,-87
67,145,-73
50,121,-93
21,96,-101
11,88,-89
-2,128,-96
-2,141,-96
15,149,-95
25,129,-83
33,130,-96
61,138,-92
70,91,-101
62,35,-97
54,8,-96
58,6,-66
64,37,-60
54,92,-69
56,95,-72
63,59,-104
70,66,-74
80,22,-76
84,23,-84
90,-1,-76
92,19,-70
95,11,-65
82,-6,-73
65,-5,-36
77,18,-57
67,35,-74
79,26,-56
71,40,-73
53,21,-72
56,23,-74
62,28,-51
36,47,-73
46,37,-77
61,38,-66
42,45,-81
44,39,-87
54,19,-82
81,3,-88
100,-50,-78
86,-66,-85
111,-80,-62
98,-68,-52
76,-51,-55
63,-30,-55
57,-26,-69
60,-63,-79
45,-80,-88
67,-94,-77
91,-144,-73
100,-146,-73
101,-119,-58
100,-136,-54
103,-155,-65
96,-141,-61
92,-136,-60
89,-142,-58
82,-132,-73
76,-137,-57
66,-131,-65
50,-122,-65
48,-144,-55
55,-145,-55
61,-146,-54
69,-186,-57
55,-161,-67
93,-209,-63
80,-220,-67
94,-230,-66
85,-220,-60
64,-205,-58
82,-203,-51
68,-230,-59
67,-225,-45
91,-264,-46
100,-278,-45
103,-292,-40
87,-284,-31
65,-276,-27
62,-262,-22
102,-303,-21
111,-314,-17
106,-332,-8
88,-319,10
79,-326,10
77,-308,14
71,-320,15
99,-349,22
119,-348,35
125,-348,33
127,-337,44
118,-342,55
111,-345,62
117,-354,76
138,-349,82
173,-363,103
173,-353,109
167,-345,125
150,-349,132
157,-364,149
200,-425,211
225,-472,252
129,-374,284
51,-300,286
49,-275,275
157,-346,284
197,-427,311
155,-489,394
29,-380,446
-148,-205,452
-134,-161,439
69,-297,434
76,-401,473
-137,-256,551
-241,-111,560
-188,-144,557
-28,-332,561
-88,-323,610
-252,-124,657
-249,-75,634
-76,-260,619
-142,-292,658
-260,-144,689
-319,-91,678
-195,-117,691
-109,-201,656
-284,-79,694
-194,-95,655
-96,-240,645
-241,-88,672
-183,-55,651
-40,-150,630
-163,-104,641
-172,-16,665
5,-80,641
-107,-34,617
-128,38,628
57,-19,611
-33,12,600
-89,106,606
86,42,593
21,44,554
-82,168,569
-34,170,562
67,102,542
46,104,518
-10,149,527
-29,189,510
58,173,495
107,137,477
112,115,470
93,132,468
11,202,484
3,257,480
52,236,460
110,194,442
139,164,433
117,158,425
92,192,441
29,279,453
29,310,437
51,274,419
112,254,396
132,230,398
111,249,383
55,302,385
40,333,372
74,313,357
98,255,337
97,271,316
36,320,316
31,347,310
67,301,276
104,256,254
65,264,239
39,263,238
3,311,237
12,328,224
30,287,209
48,267,191
57,247,177
50,248,167
31,270,164
0,304,136
-19,278,122
24,245,109
5,240,76
7,254,62
-27,270,47
-45,253,45
-8,204,39
11,191,-1
18,198,0
29,209,19
-28,217,-1
27,228,12
-32,187,-14
-33,185,-43
-29,169,-54
20,182,-46
-26,215,-71
-14,193,-47
-8,183,-60
10,173,-82
37,152,-76
28,176,-75
30,144,-79
16,127,-78
22,109,-82
59,122,-81
51,125,-86
36,98,-88
19,99,-101
50,65,-87
67,73,-64
71,59,-78
51,35,-84
69,7,-70
85,-7,-78
73,2,-71
57,-48,-67
72,-68,-55
78,-42,-58
72,-78,-63
55,-133,-59
80,-158,-66
87,-146,-60
