accX,accY,accZ
178,-224,-129
215,-218,-176
227,-124,-117
154,-7,-95
77,6,-187
102,-46,-144
175,-30,-43
197,16,-7
125,105,-56
116,75,76
190,115,113
168,129,178
97,196,228
93,196,253
121,158,274
-11,203,345
29,229,364
30,136,362
-59,162,418
-95,182,449
-14,102,451
-31,18,467
-126,53,540
-189,82,588
-184,50,605
-120,-45,580
-153,-159,562
-281,-101,612
-361,-46,612
-249,-130,564
-202,-200,520
-173,-318,453
-350,-108,499
-158,-251,416
-7,-361,293
33,-516,265
85,-433,162
155,-388,46
197,-366,37
234,-280,58
195,-251,-8
180,-239,-75
169,-219,-110
178,-194,-172
249,-187,-157
227,-110,-104
165,-49,-79
121,36,-106
82,78,-108
108,126,-39
139,133,86
124,136,175
113,156,218
117,171,252
108,186,299
76,184,342
46,142,365
-37,132,422
-105,180,461
-86,136,483
-19,45,496
-61,-33,513
-173,18,574
-216,66,609
-139,-41,581
-202,-140,579
-329,-20,613
-243,-78,576
-179,-262,510
-344,-169,551
-260,-136,528
-420,-64,544
-159,-292,458
-321,-282,456
-151,-219,407
-183,-408,355
-173,-165,333
19,-502,268
20,-269,216
105,-441,163
163,-348,153
148,-367,36
152,-362,48
201,-322,97
183,-344,-12
177,-324,-8
227,-312,18
190,-340,-26
232,-203,33
247,-303,-40
217,-355,-96
182,-290,-70
245,-220,-10
275,-235,-47
228,-300,-159
194,-198,-91
253,-172,-70
259,-251,-146
205,-233,-168
145,-101,-121
230,-90,-52
242,-197,-152
208,-193,-192
90,-70,-193
132,-21,-112
224,-93,-86
207,-105,-110
119,-88,-192
97,-43,-192
107,25,-158
121,21,-139
188,-19,-67
164,-75,-106
148,-77,-127
110,-46,-149
120,-34,-157
102,-20,-152
105,-4,-172
87,26,-156
95,53,-135
141,41,-81
157,-4,-48
159,-39,-26
142,-74,-48
142,-69,-46
123,-70,-72
120,-50,-116
105,-10,-141
73,37,-145
83,62,-119
143,20,-27
176,-6,24
159,-44,31
140,-20,-32
128,13,-52
129,20,-61
125,51,-74
126,78,-56
114,114,-44
163,91,1
193,54,81
184,39,95
189,42,95
153,48,91
133,79,70
134,97,64
127,116,66
128,111,76
123,108,77
160,104,79
183,100,115
186,105,121
162,111,136
149,120,139
132,128,160
122,153,176
151,143,172
177,131,180
185,141,188
151,152,206
125,172,204
109,180,227
124,164,227
134,144,233
144,150,241
154,165,248
111,189,267
57,200,257
51,199,282
70,186,289
92,167,294
119,181,313
86,230,320
34,235,338
8,234,352
15,195,357
31,186,362
74,202,352
62,233,358
6,251,376
-19,224,384
-20,168,395
31,180,389
-7,220,412
-54,205,420
-24,126,419
17,138,417
-3,155,426
-97,156,453
-31,73,446
-7,106,456
-123,134,483
-83,45,500
-37,79,503
-145,125,538
-145,34,544
-56,8,536
-108,52,545
-180,-13,573
-86,-54,564
-199,44,590
-250,33,599
-146,-119,570
-120,-77,563
-286,-13,605
-216,-153,590
-132,-114,563
-285,-35,588
-261,-189,577
-174,-223,554
-255,-94,561
-357,-130,585
-185,-263,533
-270,-108,549
-382,-139,562
-202,-312,501
-219,-159,518
-407,-93,529
-301,-322,498
-159,-306,457
-352,-93,476
