accX,accY,accZ
-36,282,347
7,251,442
-102,93,528
-220,166,572
-135,77,561
-221,-193,577
-503,-111,621
-396,-126,533
-443,-437,523
-411,-207,458
114,-173,128
248,-227,8
361,-210,-51
408,-84,-71
468,7,-74
453,34,-86
330,110,-77
203,183,-1
111,187,129
-2,222,292
-68,293,404
-36,231,464
-116,114,541
-239,22,595
-245,54,587
-303,-210,554
-542,-301,610
-558,-66,546
-204,-349,365
-71,-469,320
227,-214,21
294,-175,-20
392,-124,-72
455,-142,-76
465,15,-72
423,157,-85
317,73,-78
154,146,42
31,260,172
43,247,295
-32,228,430
-127,238,508
-108,188,525
-177,-67,579
-315,-38,623
-307,-72,563
-490,-372,566
-596,-65,542
-177,-249,348
-8,-511,307
221,-233,34
323,-151,-43
406,-156,-73
449,-81,-72
431,112,-80
391,141,-87
264,107,-32
76,205,116
32,266,239
17,231,365
-68,157,475
-185,229,550
-124,124,540
-151,-112,573
-348,-242,616
-540,-60,601
-401,-189,493
-320,-474,402
-173,-320,347
230,-220,29
283,-164,-17
393,-121,-63
460,-125,-70
468,-10,-73
381,136,-80
276,140,-48
151,209,71
76,209,220
-8,198,382
-62,179,486
-148,225,566
-184,143,569
-117,-4,553
-270,-203,543
-521,-387,556
-576,-442,525
-408,-371,422
59,-311,152
300,-196,-17
429,-99,-55
505,8,-61
495,109,-77
407,142,-83
257,111,-2
90,140,146
-12,165,307
-65,217,432
-109,194,529
-95,228,546
-66,-3,545
-201,-223,562
-454,-339,575
-665,-308,594
-616,-167,502
-263,-37,282
222,-201,15
374,-124,-42
481,-70,-62
518,-19,-69
451,39,-76
381,45,-71
223,84,-6
82,204,132
20,265,280
33,277,376
3,170,460
-91,91,525
-190,-67,595
-342,-78,626
-462,-17,608
-587,-22,579
-352,-129,430
37,-258,203
236,-365,80
343,-221,-36
432,-179,-52
485,-89,-55
424,15,-60
304,86,-66
167,171,46
63,254,187
19,299,346
20,259,440
-51,277,542
-117,160,559
-223,67,577
-400,-2,567
-596,-20,574
-622,-153,508
-164,-391,345
252,-239,-6
403,-158,-50
522,-47,-66
508,84,-72
353,113,-68
152,173,64
-7,183,243
-25,169,392
23,112,477
-134,142,596
-232,-4,625
-371,-102,650
-488,-57,601
-910,-372,765
-643,-577,691
165,-392,140
324,-163,-37
466,-112,-55
496,-60,-41
410,74,-63
297,37,-45
175,159,97
35,256,294
-63,201,451
-144,97,546
-94,-16,534
-147,18,560
-455,-45,593
-681,-353,594
-388,-491,382
190,-253,73
320,-175,-35
430,-124,-42
476,-32,-48
424,90,-84
327,62,-42
142,188,122
-18,227,325
-104,146,507
-151,73,616
-247,0,612
-363,-83,652
-565,-189,619
-727,-498,707
-171,-230,320
20,-138,89
297,-199,-21
453,-100,-53
501,-49,-63
495,68,-78
356,82,-54
116,111,127
4,160,292
-29,205,442
-204,115,598
-198,-54,561
-124,-27,551
-722,-207,714
-741,-517,682
-674,-387,562
129,-366,155
360,-156,-24
460,-85,-45
431,-26,-38
351,58,-48
233,147,29
-27,179,274
-10,157,392
-108,150,534
-304,115,642
-288,-241,723
-539,-282,636
-816,-333,698
-631,-680,702
-7,-283,176
298,-203,-17
435,-108,-28
481,-11,-50
383,46,-58
208,40,47
46,129,221
-92,198,428
-75,12,568
-233,62,612
-366,-165,721
-519,-414,666
-942,-357,747
-616,-667,632
-393,-400,412
259,-218,-14
428,-108,-39
457,-65,-39
395,51,-57
189,50,35
44,122,223
-105,134,443
-89,85,563
-261,-137,683
-383,-172,647
-594,-505,700
-977,-504,785
-388,-401,431
245,-208,11
387,-157,-50
471,-15,-48
348,75,-44
203,93,62
-7,112,294
-48,205,455
-168,5,616
-242,-194,701
-496,-245,658
-729,-466,658
-614,-712,705
18,-278,152
365,-163,-21
467,-68,-26
426,3,-44
290,2,24
48,94,247
-73,155,412
-147,55,572
-219,-112,639
-388,-420,683
-700,-615,772
-932,-604,721
23,-302,156
269,-190,-23
452,-130,-47
483,-37,-48
360,12,-32
145,58,167
-16,72,423
-135,12,585
-291,-59,637
-401,-238,664
-721,-380,679
-816,-521,626
-9,-257,147
381,-130,-28
502,-35,-16
384,68,-36
180,42,61
-30,101,302
-39,97,477
-248,16,655
-376,-223,708
-710,-430,720
-982,-529,753
-312,-418,378
312,-158,-31
464,-91,-42
418,22,-57
249,65,5
42,161,236
-30,156,449
-172,41,618
-290,-202,653
-550,-395,652
-763,-590,683
-407,-582,463
247,-172,-15
433,-99,-30
449,11,-51
280,30,-26
67,109,202
23,111,332
-19,51,528
-200,-60,642
-275,-352,697
-564,-561,730
-731,-712,767
-63,-597,405
326,-156,-38
489,-74,-46
440,30,-46
280,1,22
71,66,251
-38,88,495
-219,22,626
-337,-142,675
-471,-318,645
-762,-473,649
-627,-732,638
207,-380,127
400,-148,-50
507,-60,-42
395,40,-49
193,28,96
-37,89,327
-67,100,482
-215,44,604
-277,-159,641
-553,-420,654
-763,-618,694
-364,-677,521
279,-156,-18
452,-79,-38
456,26,-43
291,24,3
53,82,219
-84,98,475
-216,0,628
-355,-214,706
-584,-434,733
-682,-433,649
-808,-558,638
30,-310,164
404,-145,-29
515,-84,-36
400,6,-52
171,62,89
-17,119,314
-83,39,526
-282,-48,627
-511,-376,731
-724,-603,762
-564,-842,700
238,-214,18
448,-121,-31
486,-57,-41
319,17,-37
64,92,214
-34,83,491
-99,-32,650
-265,-210,648
-595,-387,654
-992,-568,773
-57,-583,404
358,-124,-37
494,-34,-32
379,29,-24
227,49,113
53,84,342
-35,15,514
-258,-50,621
-399,-272,663
-860,-562,766
-733,-797,753
266,-355,115
435,-92,-41
478,-10,-25
367,-10,-18
154,71,180
32,97,410
-49,99,499
-228,43,619
-398,-306,723
-730,-500,741
-1003,-677,795
-347,-534,416
350,-178,-37
494,-89,-52
437,20,-58
256,33,14
34,107,234
-22,95,460
-192,25,620
-302,-202,660
-738,-501,749
-858,-755,797
42,-622,401
379,-127,-51
510,-60,-33
403,-13,-18
222,38,121
-17,111,336
-135,2,600
-190,-214,679
-457,-406,636
-837,-490,692
-358,-756,594
330,-166,-31
512,-84,-29
446,23,-57
221,45,87
37,66,374
-21,16,516
-370,-119,681
-376,-511,703
-771,-514,645
-697,-650,602
302,-155,-50
513,-98,-34
542,-69,-33
401,-31,-32
156,19,221
-38,87,428
-94,-69,674
-347,-233,634
-552,-655,721
-839,-609,605
296,-337,60
467,-103,-26
497,-4,-58
348,-24,89
-30,52,365
-61,-14,545
-211,-236,653
-561,-534,715
-902,-538,639
30,-376,146
457,-116,-44
493,-51,-28
329,17,33
34,81,286
-25,-16,542
-199,-262,676
-509,-601,722
-1014,-730,737
25,-278,121
457,-86,-46
502,-7,-56
330,-2,78
51,31,394
-36,-77,626
-292,-343,705
-786,-538,713
-830,-623,624
267,-137,-28
482,-69,-43
470,-6,-63
233,29,149
26,47,460
-12,-12,575
-387,-193,680
-590,-402,643
-839,-604,629
50,-462,191
462,-135,-33
502,-56,-21
316,-3,76
-33,66,355
-87,12,566
-359,-184,649
-698,-433,637
-697,-832,677
325,-147,-28
520,-56,-38
432,-9,-16
23,42,299
-13,-77,564
-333,-196,641
-581,-660,710
-657,-587,543
357,-135,-39
519,-33,-40
315,-5,73
-1,67,406
-179,-102,664
-472,-296,625
-691,-785,706
34,-263,115
481,-83,-39
450,-31,-40
130,27,264
-114,-11,536
-276,-189,628
-620,-662,690
