accX,accY,accZ
99,334,311
39,299,414
18,216,451
10,135,505
-19,64,552
-81,-41,566
-190,-148,565
-297,-214,522
-332,-186,488
-254,-150,426
-53,-128,288
67,-129,108
67,-19,-13
170,53,-62
293,86,-92
272,91,-146
259,101,-167
224,139,0
126,320,135
90,341,354
51,274,428
29,210,470
15,122,510
-8,41,538
-73,-32,565
-125,-87,559
-232,-158,551
-295,-186,522
-334,-217,488
-256,-151,442
-106,-158,291
70,-130,161
93,-49,37
113,-31,-41
229,107,-76
231,31,-117
283,207,-142
253,90,-123
212,143,-66
166,215,138
95,298,250
68,328,364
36,275,430
25,218,469
22,143,508
23,90,540
1,38,572
-78,-59,566
-198,-138,541
-259,-164,540
-306,-204,537
-338,-214,514
-310,-183,474
-196,-139,377
-21,-170,280
63,-157,154
70,-121,51
115,-38,-27
175,91,-67
249,132,-68
280,98,-76
238,62,-111
238,64,-152
223,83,-153
190,143,-88
202,171,1
163,239,139
116,296,263
82,334,337
53,320,386
37,289,432
37,245,465
26,205,496
31,151,526
20,108,539
-3,52,560
-41,-2,570
-91,-67,561
-178,-134,548
-255,-163,536
-315,-172,529
-346,-162,524
-341,-148,509
-307,-125,468
-214,-116,399
-86,-111,312
56,-111,203
104,-67,102
114,-42,32
138,-60,-18
196,-57,-40
251,24,-65
280,144,-132
280,194,-152
259,88,-177
227,90,-113
149,158,-26
123,216,79
97,342,266
65,333,387
41,303,444
34,257,472
25,205,500
36,116,524
7,43,536
-16,51,562
-53,-48,562
-142,-139,551
-234,-159,537
-306,-163,525
-336,-174,525
-303,-179,498
-249,-222,440
-141,-195,328
-2,-134,198
90,-37,89
138,2,40
159,19,-11
201,-11,-45
233,-18,-61
262,44,-119
261,194,-174
247,165,-211
218,73,-172
190,126,-24
138,241,103
109,310,238
77,324,346
59,319,404
52,285,456
41,238,484
24,166,506
24,78,526
-11,31,542
-49,-11,557
-116,-41,557
-196,-110,548
-254,-176,535
-284,-226,521
-318,-220,513
-306,-210,494
-243,-141,424
-117,-132,314
34,-112,180
113,-81,86
135,4,24
177,39,-25
205,-10,-35
236,-8,-53
265,74,-126
273,218,-165
