accX,accY,accZ
33,216,462
-138,208,459
-187,87,474
-97,-24,536
-105,-170,562
-153,-213,577
-397,-245,640
-499,-134,669
-176,-166,564
169,-349,268
172,-182,23
194,-107,-32
255,8,-60
345,83,-116
376,85,-157
320,-3,-190
258,35,-37
136,116,183
90,204,397
-23,183,486
-170,149,488
-242,53,510
-291,-56,538
-380,-148,572
-462,-156,612
-317,-203,612
32,-203,456
199,-186,68
265,-125,-52
333,-85,-111
357,0,-132
371,100,-160
309,1,-171
272,34,-21
159,124,180
49,222,392
-66,183,459
-151,97,486
-176,-14,528
-277,-114,552
-443,-156,595
-559,-89,658
-395,-66,533
-25,-104,223
164,-74,23
197,-20,-49
282,20,-87
245,84,-65
248,128,-80
217,63,-29
159,94,144
125,140,334
54,160,453
-66,127,478
-82,-18,512
-96,-160,548
-181,-284,590
-301,-332,641
-345,-313,681
-173,-241,547
119,-324,211
171,-157,3
232,-88,-45
248,-14,-53
262,100,-50
201,40,-71
141,67,90
39,108,288
58,205,433
-40,157,488
-167,108,491
-215,24,538
-304,-95,552
-438,-153,574
-566,-131,653
-489,-101,622
-233,-97,387
220,-118,49
326,-84,-62
370,-38,-104
370,54,-101
366,124,-122
274,33,-90
130,71,60
36,110,262
-40,96,490
-120,19,558
-204,0,567
-279,-133,594
-336,-302,655
-463,-450,701
-677,-572,768
-753,-570,846
-414,-593,705
105,-314,249
165,-128,18
192,-51,-44
236,36,-82
258,134,-114
267,79,-169
237,107,-87
119,113,138
-49,220,364
-199,207,504
-259,142,484
-283,-6,527
-345,-167,564
-460,-384,622
-669,-459,704
-724,-516,818
-448,-519,695
22,-218,227
206,-102,-13
298,-60,-68
386,31,-114
390,125,-161
288,86,-167
247,-16,-61
132,52,137
5,88,385
-67,62,545
-202,-19,576
-279,-131,609
-339,-268,663
-470,-440,707
-697,-484,774
-745,-549,866
-444,-573,707
-71,-514,501
142,-185,91
199,-113,-8
234,-43,-39
222,15,-44
243,67,-75
187,18,-22
100,70,166
15,108,356
-79,134,554
-216,36,555
-357,-23,566
-436,-145,626
-583,-283,648
-691,-367,666
-764,-359,729
-617,-317,637
13,-175,223
268,-115,0
327,-75,-76
374,-11,-102
310,80,-129
301,62,-160
207,-19,-45
141,42,151
-14,143,347
-73,97,543
-201,-37,569
-274,-156,590
-294,-373,640
-474,-501,683
-651,-531,710
-663,-525,745
-386,-338,520
205,-200,94
296,-127,-38
328,-38,-74
339,62,-118
290,155,-124
249,5,-130
186,51,29
96,95,159
-28,137,373
-69,87,533
-216,-31,568
-268,-164,580
-322,-320,640
-458,-494,698
-648,-603,785
-734,-603,851
-524,-521,718
-22,-214,239
213,-133,-1
304,-57,-86
361,45,-118
360,154,-168
306,89,-188
188,-4,-35
95,27,168
40,81,352
-103,152,523
-268,67,531
-290,8,514
-293,-146,559
-381,-360,622
-556,-558,751
-754,-471,836
-878,-425,772
-366,-265,481
154,-205,115
176,-169,9
238,-70,-46
332,19,-100
319,145,-155
252,55,-92
260,20,-108
232,73,-17
52,125,266
2,104,487
-148,161,520
-223,52,521
-273,-131,611
-356,-128,598
-335,-238,569
-435,-496,704
-796,-419,737
-691,-408,727
-650,-637,812
-398,-359,485
199,-122,86
203,-167,15
293,-71,-72
349,65,-102
249,2,-63
358,104,-169
258,10,-148
200,24,26
135,101,118
-14,135,339
-55,116,530
-154,91,493
-251,-72,586
-332,-58,547
-323,-282,603
-487,-361,699
-584,-407,651
-710,-543,846
-760,-321,701
-380,-631,686
-33,-184,226
207,-170,45
220,-92,-59
347,-39,-84
235,20,-76
343,57,-125
275,128,-147
242,-2,-92
195,59,41
-6,161,254
-48,141,413
-98,128,497
-204,-16,553
-376,-58,570
-335,-141,556
-306,-322,612
-409,-550,714
-693,-500,695
-762,-408,731
-654,-550,743
-244,-453,500
179,-154,64
256,-63,-24
261,-65,-40
325,-1,-99
360,159,-144
299,94,-94
314,1,-128
219,58,23
41,158,280
10,70,475
-210,77,544
-231,14,528
-232,-174,596
-341,-324,660
-504,-412,614
-634,-438,648
-705,-545,783
-631,-683,834
-425,-366,489
176,-137,59
274,-64,-18
323,-19,-19
312,6,-61
335,47,-141
329,31,-218
253,11,-57
173,39,186
40,69,356
-100,172,503
-141,69,510
-214,-71,564
-282,-238,645
-503,-365,632
-508,-403,620
-553,-532,687
-652,-708,843
-945,-579,768
-403,-330,497
191,-255,179
226,-149,8
279,-65,-69
351,60,-121
311,107,-77
369,44,-103
302,-13,-178
192,82,5
66,94,295
-13,65,476
-144,104,532
-219,44,519
-279,-148,600
-403,-256,637
-413,-353,606
-539,-589,729
-798,-595,816
-774,-439,726
-385,-494,589
165,-343,246
208,-143,-9
289,-15,-79
327,42,-60
334,14,-77
375,71,-181
292,5,-153
177,59,57
66,56,255
-41,109,445
-102,116,511
-185,1,552
-274,-151,614
-456,-259,621
-432,-336,602
-533,-569,724
-676,-657,848
-779,-486,728
-634,-444,665
-14,-356,328
189,-163,74
237,-101,-57
320,29,-110
336,99,-88
332,63,-64
332,17,-195
256,29,-111
132,60,196
69,61,364
-90,175,490
-117,13,553
-212,-108,602
-318,-186,622
-443,-320,605
-524,-441,628
-634,-610,771
-730,-683,848
-731,-518,695
-55,-226,219
223,-106,-13
310,-16,-77
321,23,-59
287,11,-50
365,56,-162
324,3,-195
168,72,60
25,148,289
-35,76,498
-148,52,585
-303,16,538
-302,-118,536
-312,-325,625
-409,-559,729
-696,-600,783
-964,-569,798
-692,-404,655
-26,-269,271
201,-117,60
278,-106,-23
320,-70,-50
312,0,-110
339,117,-145
311,75,-134
248,-7,-22
215,50,98
48,118,306
-87,183,477
-121,13,550
-205,-129,604
-280,-238,640
-481,-419,653
-562,-433,628
-682,-527,722
-657,-736,854
-393,-696,729
-44,-249,234
202,-111,-13
273,-21,-63
329,47,-41
364,59,-71
399,28,-182
288,-10,-165
141,76,48
94,62,291
0,80,479
-165,38,554
-282,-17,529
-268,-141,567
-243,-385,674
-512,-519,694
-676,-511,663
-725,-526,761
-604,-711,851
-373,-449,500
179,-128,56
246,-75,0
327,-67,-33
313,-10,-101
310,138,-134
341,61,-92
363,22,-153
282,11,-102
49,128,168
55,57,421
-72,110,567
-188,-3,524
-306,-42,528
-252,-284,634
-328,-483,694
-632,-468,648
-740,-467,693
-648,-753,847
-467,-670,732
-25,-255,229
195,-89,4
295,-54,-30
343,-29,-32
344,49,-136
317,132,-155
354,-5,-104
263,25,-44
60,137,155
-29,98,398
-22,75,584
-201,11,542
-284,-60,542
-225,-288,642
-455,-441,667
-509,-476,641
-654,-626,770
-756,-720,863
-689,-473,659
-16,-234,241
207,-107,47
299,-103,-19
338,-42,-79
340,60,-132
348,147,-181
269,-1,-123
211,12,64
134,51,258
67,62,357
-106,121,553
-193,11,537
-311,-55,535
-310,-222,582
-338,-497,675
-515,-633,769
-807,-658,817
-946,-591,769
-428,-345,484
141,-96,67
232,-52,-31
330,5,-39
374,45,-46
389,65,-92
386,8,-207
278,12,-108
64,120,158
-53,133,382
-48,63,573
-114,-97,614
-281,-141,607
-400,-328,637
-486,-412,619
-711,-460,658
-791,-424,748
-630,-525,707
12,-509,412
231,-164,62
317,-98,-33
361,-36,-81
353,6,-119
401,49,-187
283,-5,-133
129,93,63
46,96,272
-6,67,497
-129,33,588
-336,-58,576
-378,-100,555
-403,-307,601
-454,-406,620
-651,-451,671
