accX,accY,accZ
-252,-277,682
-331,-442,727
-534,-614,778
-594,-751,823
-298,-728,688
266,-431,240
289,-182,36
355,-140,-8
404,3,-53
388,69,-93
247,-27,-80
139,48,55
36,92,235
-47,86,380
-127,54,453
-158,-73,566
-177,-250,634
-338,-341,708
-483,-423,746
-728,-588,810
-819,-637,820
-286,-460,496
250,-252,92
323,-146,-2
371,-115,-49
374,36,-77
342,127,-124
229,55,-107
182,16,-38
85,-17,132
-107,128,294
-173,159,401
-260,215,451
-187,-16,518
-191,-236,632
-373,-353,711
-511,-320,657
-580,-462,706
-579,-658,833
-648,-449,658
20,-344,261
265,-184,64
291,-201,16
368,-94,-50
392,-12,-80
267,-21,-57
257,37,-115
142,-6,-47
56,57,75
36,88,185
-54,68,386
-204,208,435
-174,27,464
-321,-61,594
-272,-128,570
-305,-380,719
-527,-320,693
-631,-409,705
-810,-611,835
-572,-509,635
56,-624,477
237,-247,94
283,-143,4
342,-209,-18
416,-93,-45
343,-73,-61
365,70,-100
260,-4,-116
261,2,-89
85,21,15
51,52,98
-66,137,225
-65,100,333
-195,152,417
-182,31,476
-242,-7,547
-224,-195,625
-340,-202,653
-357,-474,730
-592,-366,684
-812,-509,805
-569,-708,748
-550,-541,668
89,-648,492
252,-258,103
291,-247,43
317,-132,-14
365,-97,-33
401,-150,-57
376,34,-88
296,42,-98
265,-39,-103
142,58,-32
37,65,89
-14,100,176
-127,177,285
-131,103,433
-206,165,446
-258,79,514
-234,-114,609
-257,-146,604
-354,-233,699
-407,-437,725
-605,-368,698
-795,-529,831
-657,-530,689
-372,-666,709
50,-344,247
254,-279,111
293,-219,34
363,-146,-29
393,-85,-57
386,-85,-62
341,97,-105
274,-41,-100
155,57,-1
22,47,113
-57,81,249
-125,142,327
-189,73,462
-228,78,501
-229,-92,577
-346,-260,700
-443,-276,683
-504,-454,696
-610,-656,828
-675,-481,740
-296,-459,501
269,-333,147
280,-218,30
361,-223,-18
429,-50,-66
387,49,-94
304,16,-96
174,1,-48
62,68,66
-51,109,184
-87,82,350
-228,170,433
-205,43,486
-217,-153,613
-327,-135,649
-366,-314,681
-587,-448,778
-638,-381,710
-551,-685,764
-600,-616,701
39,-305,237
258,-296,124
296,-264,40
325,-99,-42
392,-107,-57
400,-51,-73
350,147,-99
269,-25,-116
115,40,-4
2,61,95
-103,137,237
-133,165,347
-233,131,475
-208,65,492
-311,-86,612
-288,-97,620
-316,-402,735
-530,-333,727
-611,-387,691
-572,-718,854
-566,-502,681
40,-366,289
247,-286,82
320,-167,2
