accX,accY,accZ
152,91,-56
104,188,-41
98,212,-1
130,230,37
68,258,105
87,263,193
-22,347,322
-59,194,411
-63,141,468
-55,187,547
-208,131,611
-210,-21,648
-184,-166,594
-233,-162,585
-385,-55,623
-399,-206,644
-233,-404,519
12,-419,385
195,-497,289
272,-379,135
306,-303,52
314,-282,7
323,-219,-18
283,-175,-28
228,-97,-39
178,7,-54
142,80,-66
125,114,-59
137,181,-38
138,207,4
131,205,40
129,223,84
71,322,187
20,287,309
-23,193,384
-42,213,442
-121,202,568
-139,-27,574
-165,72,615
-241,-160,638
-252,-214,561
-466,-41,593
-302,-241,525
-420,-195,561
42,-189,288
298,-440,176
317,-298,16
347,-244,-22
270,-144,-29
221,-29,-59
137,49,-61
128,139,-33
176,147,-7
126,208,69
88,304,156
81,305,267
19,190,388
-88,95,508
-214,112,616
-210,104,629
-209,-109,565
-300,-319,548
-371,-426,552
-232,-325,479
86,-228,156
314,-287,13
329,-229,-32
257,-106,-44
171,42,-59
123,62,-57
123,177,-9
107,267,42
109,316,133
78,315,267
25,200,383
-87,93,511
-185,-31,594
-209,-98,654
-349,-217,627
-396,-357,591
-400,-383,584
-44,-505,371
298,-441,138
332,-291,0
307,-182,-31
216,-31,-46
155,58,-65
161,131,-36
171,214,29
114,290,137
20,355,304
-79,263,438
-134,150,577
-173,-95,612
-205,-195,581
-356,-77,586
-439,-99,564
-109,-240,375
303,-295,45
333,-228,-16
258,-109,-35
162,20,-65
144,109,-52
138,255,11
102,267,112
32,258,262
14,218,384
-100,238,536
-198,95,638
-243,-211,609
-269,-244,547
-381,-92,538
-126,-221,367
319,-294,39
348,-244,-22
249,-104,-56
129,106,-58
118,106,-39
161,147,0
151,274,71
64,345,228
-45,317,400
-122,105,524
-177,-61,572
-133,-92,582
-321,-60,581
-451,-48,570
-254,-299,477
320,-459,139
345,-291,-14
300,-142,-36
164,34,-41
101,84,-48
151,163,-5
129,253,68
50,332,231
-18,296,411
-72,90,498
-189,107,591
-277,-18,663
-352,-335,587
-245,-319,491
-139,-133,334
285,-307,54
295,-251,-10
226,-78,-34
123,84,-56
119,160,-26
124,198,21
119,224,103
72,292,248
2,291,392
-99,240,534
-190,115,622
-231,76,651
-369,-51,649
-461,-111,640
-414,-166,560
-20,-366,374
302,-315,50
311,-258,-4
232,-125,-26
149,40,-52
121,65,-60
134,162,-18
127,221,50
83,247,156
31,252,317
-2,165,411
-101,54,545
-143,-75,622
-273,-107,660
-420,-148,651
-425,-281,623
-199,-359,482
231,-426,189
313,-296,25
290,-180,-16
199,-39,-34
133,83,-53
122,141,-27
119,238,29
88,274,121
34,282,265
-9,228,395
-74,110,504
-142,-37,579
-193,-125,644
-328,-197,640
-479,-148,633
-423,-173,544
-309,-137,481
106,-240,148
306,-292,24
295,-219,-14
239,-95,-43
161,2,-71
145,78,-52
123,215,5
99,281,58
104,312,137
91,286,259
23,189,382
-75,97,508
-170,29,607
-274,70,661
-310,-32,614
-295,-242,530
-294,-430,501
-38,-543,342
250,-418,171
323,-282,10
300,-181,-16
217,-52,-42
154,57,-62
160,88,-62
127,165,-14
91,238,63
51,333,160
82,311,262
12,197,388
-105,161,528
-200,141,596
-144,35,620
-212,-168,576
-308,-318,547
-336,-433,533
-383,-295,541
-163,-168,358
302,-323,55
352,-297,-12
327,-188,-38
202,-13,-47
150,73,-64
173,74,-59
150,171,-5
91,267,54
127,254,105
46,293,265
58,311,352
3,137,458
-164,216,559
-58,-29,562
-292,41,663
-225,-93,584
-440,-312,615
-446,-59,574
-190,-466,423
-126,-272,361
297,-348,65
337,-286,2
284,-208,-4
238,-111,-28
148,-8,-44
