accX,accY,accZ
10,-132,295
114,-70,144
224,-31,88
348,-42,64
413,32,15
364,20,-89
253,-5,-116
207,55,9
144,131,114
43,157,186
23,169,258
3,102,361
-91,126,471
-172,135,514
-318,116,545
-467,91,559
-501,1,662
-726,-185,732
-20,-161,317
147,123,79
262,38,58
396,45,25
341,74,-56
280,22,-69
209,49,-29
180,27,137
79,91,236
-9,192,361
-30,104,442
-93,138,536
-173,78,538
-492,50,536
-544,203,615
-193,142,388
92,63,211
270,116,111
376,238,54
259,352,-137
169,125,0
104,139,154
15,104,306
-22,-95,369
-205,-189,503
-533,-71,623
-285,-58,604
125,23,179
340,131,113
297,288,-61
189,138,-39
118,174,122
19,67,310
-111,-111,406
-153,-314,504
-496,13,660
-90,54,347
232,30,99
325,248,58
218,259,-100
148,206,82
36,135,232
-56,-113,382
-287,-236,574
-529,91,611
-23,0,353
232,30,130
345,227,60
229,258,-119
120,163,86
19,245,174
-39,-20,275
-91,-199,478
-312,-201,622
-258,-29,596
149,9,184
290,163,120
228,341,-126
224,164,13
50,144,207
-39,-108,329
-155,-238,557
-488,21,629
-314,117,485
190,11,129
352,231,82
267,249,-124
204,107,67
-19,159,227
-146,-54,360
-217,-194,542
-313,-25,557
-12,-174,458
228,32,118
295,207,70
235,252,-105
156,181,103
-12,175,242
-45,-108,357
-165,-264,527
-306,-66,593
10,-50,363
236,69,126
260,296,-8
213,146,-65
106,179,128
-2,84,242
-38,-38,308
-102,-188,499
-454,-112,669
-369,122,510
167,23,148
286,196,106
236,287,-105
149,167,54
66,146,167
-13,0,352
-178,-251,546
-537,-83,667
-345,112,487
158,30,150
304,209,66
220,264,-136
178,181,76
-10,119,235
-113,-15,398
-220,-246,538
-316,-14,553
-21,-186,448
229,26,124
307,201,18
201,172,-103
170,178,89
69,55,237
-55,-134,425
-240,-310,612
-549,68,636
-128,64,306
226,45,96
323,249,-19
220,134,-84
165,182,120
24,73,299
-54,-7,388
-191,-219,553
-541,8,644
-333,144,457
173,29,114
329,230,37
219,206,-135
169,195,92
-12,131,274
-163,-96,410
-266,-301,565
-401,64,570
63,2,227
310,127,116
284,302,-91
222,154,-28
100,170,174
-23,23,336
-102,-161,503
-343,-2,526
-166,56,412
163,26,123
339,224,53
223,230,-130
131,223,124
-48,94,274
-166,-75,441
-352,-227,613
-491,75,644
92,-3,208
311,151,115
308,266,-119
197,126,39
93,73,203
-30,-70,368
-65,-260,533
-316,-66,543
-243,-4,513
70,18,171
326,206,99
261,306,-142
195,183,55
85,111,203
-68,-82,366
-78,-250,515
-353,-57,536
-9,-173,410
196,64,113
329,196,-6
239,123,-108
151,177,159
-49,48,305
-173,-96,472
-332,-218,577
-400,63,538
44,-58,264
282,105,103
378,265,-53
231,148,-41
83,181,192
-87,69,315
-66,-130,464
-235,-253,532
-302,-92,590
86,-19,196
337,160,114
292,325,-97
197,162,2
105,152,195
-12,-20,333
-43,-242,519
-345,-182,580
-389,35,588
109,-1,152
221,62,107
354,234,-36
212,141,-62
138,178,160
20,0,291
-100,-179,475
-339,-267,606
-494,38,619
60,1,207
305,134,100
370,282,-113
184,143,21
27,135,213
-19,-22,350
-89,-185,513
-329,-6,492
-158,-38,423
123,63,129
324,187,58
322,148,-116
163,144,102
11,75,254
-98,-80,403
-211,-205,550
-375,-4,520
-44,-135,390
188,63,107
364,232,15
260,136,-84
113,190,134
40,78,259
-46,-148,414
-202,-361,586
-493,31,633
-63,75,308
218,76,100
341,209,35
327,256,-95
172,161,0
76,126,170
-88,51,350
-20,-141,452
-357,-294,626
-395,88,548
25,-80,324
249,55,120
362,262,-4
287,168,-109
164,179,97
4,65,257
-14,-56,367
-155,-262,566
-341,-50,505
-441,94,582
55,37,173
340,147,104
316,264,-67
236,131,-28
93,191,156
12,16,303
-52,-115,401
-276,-264,603
-367,-33,536
-316,112,473
154,77,119
335,178,76
308,365,-144
188,125,29
43,152,188
1,-30,334
-113,-122,486
-300,-322,592
-452,94,572
-42,-25,334
125,13,155
342,202,96
356,323,-104
230,180,-20
112,151,199
-39,20,301
-82,-164,463
-252,-289,575
-463,28,605
-8,-16,277
194,115,125
353,197,-16
262,107,-89
156,169,142
25,30,289
-117,-108,457
-315,-239,575
-394,52,556
30,-22,306
204,121,120
304,261,-16
240,135,-81
139,156,137
-45,64,295
-40,-149,406
-164,-291,606
-395,45,541
-126,-115,490
110,77,115
383,154,93
260,314,-121
172,136,25
82,141,197
-45,-13,340
-109,-134,484
-282,-262,601
-306,38,532
-307,-53,576
95,4,148
260,196,122
348,327,-120
182,130,-42
81,152,205
-4,33,294
-33,-142,489
-199,-265,556
-469,11,618
-47,-116,398
122,-1,127
320,227,58
234,203,-129
176,119,37
100,126,194
21,1,341
-14,-170,486
-349,-164,600
-327,-45,539
-129,31,324
253,106,106
327,259,-11
209,149,-99
178,154,91
27,59,280
-15,-127,362
-188,-284,622
-445,25,568
-131,-45,416
156,40,116
337,274,40
262,210,-148
175,153,40
27,99,256
-24,-41,341
-40,-269,534
-244,-339,621
-521,67,627
-67,92,269
259,63,104
327,271,-1
194,188,-84
154,164,110
47,50,280
-75,-143,423
-237,-247,591
-324,-14,525
-141,-81,444
145,24,111
411,277,6
297,211,-116
170,142,123
22,58,297
-75,-97,382
-156,-311,573
-434,-70,594
-223,19,475
90,32,113
367,199,51
364,286,-159
171,178,92
58,85,245
-61,-102,375
-68,-221,525
-392,-90,558
-341,103,513
28,23,146
297,135,126
389,387,-131
212,142,-18
89,155,186
-12,22,335
-57,-135,432
-54,-222,523
-357,-48,563
-258,85,486
25,29,169
323,206,97
305,247,-68
257,156,-63
120,157,162
50,48,285
-95,-154,427
-109,-281,556
-477,-19,603
-117,-22,395
63,15,131
384,267,77
311,258,-131
212,173,-17
65,142,209
27,27,312
-104,-142,476
-195,-295,577
-440,70,561
-221,-24,490
139,70,113
397,228,78
294,224,-129
225,160,-3
66,129,216
11,6,318
-105,-126,446
-226,-304,613
-366,19,522
-269,77,463
213,76,94
314,170,83
307,359,-151
196,159,7
171,153,116
2,87,301
-19,-124,371
-145,-200,544
-396,-55,565
-263,-34,483
35,9,164
347,199,98
351,248,-48
249,159,-61
141,163,133
18,66,303
-15,-162,377
-174,-175,587
-298,-86,522
-411,110,533
95,59,138
270,161,102
390,357,-102
223,122,-57
123,134,184
-2,63,313
-58,-220,443
-292,-233,627
-372,9,526
-82,-72,459
141,61,100
337,206,29
293,236,-126
138,167,73
63,78,248
-51,-85,397
-158,-208,557
-306,-99,526
-431,137,550
93,7,137
333,202,92
304,258,-7
242,199,-101
168,152,110
13,97,302
-62,-116,388
-127,-327,589
-455,-6,603
-264,107,404
181,36,106
381,250,54
263,279,-132
157,144,71
67,88,253
-53,-115,400
-188,-186,570
-380,-13,503
-248,-68,534
121,70,100
319,208,68
329,226,-138
163,162,41
43,134,232
-19,-45,357
-104,-205,562
-447,-13,555
