accX,accY,accZ
239,94,176
314,11,52
485,30,-32
643,-65,-78
627,-174,-103
477,-223,-105
319,-196,-67
249,-389,143
-398,-712,513
-796,-638,691
-820,-519,723
-597,-513,781
-290,-426,779
-195,-165,733
-89,43,658
46,91,527
119,99,408
248,19,228
358,-37,58
471,-13,-41
623,-69,-90
625,-186,-87
486,-212,-106
321,-208,-62
243,-401,128
-384,-700,525
-854,-575,692
-838,-508,732
-619,-512,780
-312,-395,763
-119,-184,756
-24,-33,655
18,46,558
93,128,452
173,108,311
291,20,163
370,8,-1
478,15,-58
649,-55,-63
631,-183,-106
479,-198,-105
380,-234,-76
231,-217,-24
2,-387,199
-461,-806,719
-816,-596,708
-695,-722,876
-689,-473,713
-396,-511,741
-372,-343,752
-240,-100,685
-95,-75,708
0,-37,677
31,99,526
139,130,431
231,75,372
195,60,245
267,54,109
354,24,5
464,26,-21
538,-13,-71
613,-135,-83
621,-177,-91
520,-176,-100
379,-199,-103
294,-255,-55
229,-216,7
19,-686,387
-608,-760,708
-904,-593,726
-799,-615,751
-859,-504,714
-555,-507,717
-353,-492,793
-337,-236,684
-142,-145,730
-129,-47,738
21,45,566
166,22,537
141,110,396
232,76,264
288,31,178
325,12,38
436,-22,-30
551,-36,-40
609,-62,-72
623,-179,-91
542,-176,-91
388,-197,-99
292,-232,-59
195,-284,37
-124,-662,476
-680,-559,643
-701,-773,833
-866,-603,802
-602,-434,681
-482,-423,757
-330,-182,666
-163,-127,766
-72,61,639
58,8,608
95,164,452
204,65,348
217,124,138
255,57,-16
418,-13,-45
534,-14,-69
629,-145,-53
556,-167,-55
540,-233,-50
403,-210,-64
273,-261,-27
142,-244,23
-133,-355,230
-451,-821,740
-906,-467,722
-789,-539,855
-624,-347,651
-575,-288,710
-276,-153,684
-237,119,627
-14,58,633
80,170,456
113,115,377
258,69,200
346,-3,28
492,-60,-27
585,-94,-66
605,-110,-42
529,-258,-43
385,-206,-51
245,-269,-3
102,-258,47
-99,-694,502
-738,-549,641
-965,-539,836
-644,-585,755
-596,-286,674
-304,-323,740
-239,-16,639
-180,103,669
71,73,539
90,196,435
211,128,315
301,45,104
405,15,-14
565,-91,-47
627,-70,-65
593,-180,-52
561,-242,-51
396,-203,-59
262,-254,-10
119,-244,44
-90,-657,506
-707,-541,666
-915,-624,881
-635,-568,752
-580,-307,672
-311,-308,743
-213,-16,640
-144,144,640
115,44,571
118,164,424
180,100,299
337,11,120
403,42,-35
544,-67,-51
662,-169,-48
587,-151,-71
445,-235,-57
300,-253,-35
159,-250,23
-97,-505,290
-727,-495,678
-654,-779,877
-756,-421,717
-605,-429,758
-331,-355,667
-284,3,649
-50,-29,716
10,115,550
93,146,510
190,113,327
223,128,177
354,-42,27
439,3,-50
579,-65,-68
624,-109,-63
615,-210,-48
509,-180,-76
380,-279,-56
257,-221,-34
122,-277,50
-37,-717,397
-663,-661,720
-881,-432,711
-710,-664,791
-628,-564,812
-570,-314,665
-384,-282,627
-199,-233,719
-207,79,660
-56,84,621
85,69,597
84,230,462
182,114,337
225,104,230
275,61,52
403,-2,-20
493,-50,-47
608,-47,-74
620,-171,-55
528,-222,-64
422,-200,-81
299,-273,-36
190,-274,8
-11,-378,189
-441,-513,508
-630,-816,751
-879,-568,855
-780,-435,729
-523,-554,726
-477,-404,738
-358,-149,647
-145,-160,687
-78,15,712
-30,162,612
104,32,598
71,182,514
145,193,367
203,82,228
275,21,134
302,27,24
418,21,-51
540,-8,-71
624,-136,-48
587,-192,-56
529,-171,-86
402,-253,-70
284,-277,-22
195,-245,13
-94,-355,219
-363,-831,661
-856,-716,845
-813,-463,727
-588,-627,791
-609,-420,744
-414,-245,616
-180,-255,737
-178,67,657
16,1,664
33,192,552
129,169,432
184,114,349
207,158,156
294,-8,30
376,-18,-14
515,16,-75
613,-116,-57
579,-198,-66
524,-176,-103
409,-262,-70
284,-272,-29
207,-254,8
-54,-363,211
-423,-500,500
-616,-819,738
-842,-533,761
-834,-469,749
-732,-389,686
-567,-429,684
-440,-404,675
-291,-420,695
-186,-294,720
-118,-142,715
-58,-43,701
38,-10,678
94,42,588
138,76,532
156,112,464
187,94,365
210,60,252
227,66,140
280,40,57
323,40,-11
384,19,-48
466,-19,-57
529,-69,-60
572,-135,-46
582,-140,-62
572,-175,-76
516,-193,-90
442,-220,-92
350,-243,-78
268,-250,-45
205,-260,-11
143,-260,29
-66,-322,195
-392,-539,496
-412,-743,692
-662,-772,756
-815,-510,686
-837,-443,721
-799,-414,739
-751,-533,800
-498,-504,781
-542,-337,666
-483,-249,685
-390,-283,720
-195,-268,737
-119,-161,702
-128,16,648
-110,104,653
-46,90,631
60,25,584
144,54,517
151,106,442
156,173,352
168,167,286
182,73,227
267,5,155
317,-28,78
341,18,1
379,23,-38
437,16,-43
517,-35,-46
601,-62,-51
623,-120,-66
586,-182,-84
519,-222,-94
453,-231,-91
389,-214,-84
342,-207,-71
282,-228,-46
201,-254,-3
183,-455,144
-73,-434,228
-395,-483,477
-741,-590,684
-641,-790,860
-751,-695,789
-832,-444,686
-806,-422,748
-666,-500,799
-481,-589,761
-629,-382,739
-411,-391,744
-291,-425,733
-278,-245,656
-276,-51,650
-176,1,710
-82,-19,715
39,-41,662
48,61,546
48,155,494
81,184,462
106,137,422
197,86,345
264,36,249
281,4,162
297,17,68
340,21,-10
405,1,-45
479,-31,-65
557,-85,-75
587,-139,-74
576,-191,-78
523,-218,-91
447,-227,-95
361,-240,-90
281,-227,-56
197,-238,2
-43,-333,198
-376,-515,502
-688,-543,676
-839,-495,727
-793,-506,728
-671,-551,729
-502,-572,780
-393,-432,772
-395,-311,723
-291,-51,657
-113,26,648
22,-41,659
93,23,593
101,118,478
191,67,443
196,74,338
226,109,182
307,43,56
401,-17,7
472,16,-25
547,-85,-65
609,-124,-85
605,-154,-92
524,-190,-83
397,-211,-71
272,-256,-31
198,-253,-4
-44,-330,193
-395,-448,484
-636,-709,690
-686,-734,895
-810,-547,835
-672,-386,714
-492,-338,645
-334,-386,707
-157,-319,763
-164,-92,753
-119,118,654
21,90,557
109,75,480
199,57,449
182,87,334
224,101,210
280,57,99
365,1,-4
475,-31,-30
564,-45,-43
589,-110,-64
586,-180,-84
525,-202,-104
429,-208,-80
301,-215,-48
268,-216,-52
172,-223,15
-63,-530,295
-330,-834,746
-873,-710,848
-897,-430,724
-685,-517,700
-488,-581,785
-446,-391,762
-383,-191,675
-254,-64,677
-134,34,654
-30,4,622
66,-2,568
147,29,527
183,78,446
192,86,330
229,53,234
272,39,130
332,26,32
395,19,-30
496,-40,-65
584,-89,-81
612,-112,-87
588,-170,-88
514,-191,-88
416,-197,-82
319,-206,-54
231,-218,-21
151,-260,31
-78,-418,235
-422,-652,531
-676,-701,697
-746,-692,795
-658,-676,849
-587,-578,801
-523,-495,782
-480,-369,742
-398,-289,725
-256,-262,704
-130,-137,731
-43,-81,727
41,-20,664
110,34,589
97,103,516
139,159,402
187,130,288
233,97,193
281,61,104
336,26,18
401,8,-34
489,-38,-64
565,-97,-78
597,-146,-81
580,-179,-95
521,-202,-105
437,-226,-98
353,-227,-89
274,-227,-57
197,-249,-6
-9,-349,184
-362,-519,471
-707,-628,701
-908,-637,828
-932,-660,863
-845,-609,833
-715,-541,785
-600,-465,762
-500,-351,725
-374,-177,678
-268,-72,691
-181,28,697
-111,88,656
-30,111,586
48,112,520
