accX,accY,accZ
-30,-441,547
240,-384,242
287,-296,67
386,-296,-31
483,-142,-68
250,125,-132
-17,192,-117
-36,274,88
-64,377,295
-67,326,386
-31,108,436
-169,20,528
-257,-42,594
-342,-294,661
-366,-274,658
138,-366,403
257,-338,149
318,-300,2
386,-210,-69
344,-7,-101
106,203,-136
-35,233,-33
-61,312,142
-36,339,301
-78,276,381
-104,134,435
-153,34,520
-286,-95,573
-332,-134,606
-331,-242,670
-224,-250,654
144,-330,436
254,-370,222
295,-290,66
352,-243,-27
420,-106,-69
347,37,-115
116,181,-150
-42,213,-93
-64,282,78
-27,328,226
-54,304,350
-82,313,419
-102,141,466
0,-37,502
-96,-54,572
-387,-57,647
-484,-210,686
-243,-371,615
165,-462,516
254,-348,228
272,-317,99
320,-294,10
387,-204,-65
404,-13,-85
226,125,-122
30,149,-137
-44,222,-21
-91,298,125
-65,375,290
-118,350,383
-62,157,423
-11,16,487
-150,-20,563
-277,-91,597
-328,-205,641
-312,-350,646
-29,-423,567
206,-433,395
277,-332,147
297,-315,86
342,-299,-11
406,-206,-71
401,-8,-81
216,135,-126
-6,150,-139
-77,194,-20
-37,300,126
-47,332,291
-84,348,386
-76,210,440
-9,26,486
-136,-68,562
-300,-100,610
-294,-142,644
-262,-292,659
-188,-368,616
66,-328,377
271,-359,169
305,-331,40
355,-247,-34
413,-105,-79
358,10,-103
181,116,-134
-20,202,-106
-120,307,42
-85,338,178
-22,317,317
-99,281,413
-128,190,454
-18,58,497
-14,-53,541
-315,-132,623
-390,-144,656
-195,-249,636
-233,-307,624
24,-273,356
287,-359,158
323,-328,37
345,-259,-34
414,-116,-77
417,-17,-94
292,84,-124
69,157,-123
-89,238,-30
-84,301,119
-50,368,244
-42,320,368
-113,196,434
-74,115,500
-81,53,553
-152,-150,568
-144,-245,616
-480,-226,721
-356,-343,640
86,-230,385
286,-383,196
325,-329,45
385,-272,-38
417,-124,-73
321,24,-110
90,163,-146
-57,186,-92
-63,274,52
-26,325,211
-38,343,379
-60,273,429
-70,164,489
-154,51,566
-228,-86,589
-273,-282,612
-324,-379,655
-309,-221,639
50,-298,370
288,-351,154
308,-326,38
359,-262,-40
409,-94,-77
356,15,-102
150,105,-138
-18,186,-103
-49,259,-36
-115,320,120
-101,352,259
-21,295,366
20,198,429
-48,156,494
-154,40,574
-183,-147,571
-265,-306,609
-426,-226,698
-306,-125,662
207,-461,403
267,-393,202
295,-301,58
354,-283,-16
392,-209,-63
363,-28,-82
200,127,-131
10,217,-131
-73,241,-11
-66,318,133
-88,318,298
-84,274,401
-69,207,442
-28,121,521
6,-39,537
-193,-157,594
-383,-310,663
-457,-285,688
-238,-149,554
243,-356,242
289,-352,101
340,-297,-4
368,-186,-65
340,-4,-82
179,124,-124
28,159,-130
-38,223,-37
-85,300,112
-92,359,282
-64,361,384
-23,277,407
48,124,439
-68,30,520
-261,-28,581
-340,-109,621
-234,-303,640
-216,-301,639
36,-461,533
237,-373,219
251,-323,88
303,-290,-5
395,-160,-61
378,-34,-92
170,130,-131
-51,247,-125
-80,264,14
-10,290,157
-40,354,296
-85,376,387
17,161,417
-19,72,475
-141,89,545
-87,-175,541
-358,-112,646
-301,-183,674
-276,-288,657
-249,-181,547
221,-445,315
244,-345,136
280,-302,29
336,-252,-32
363,-122,-62
373,-41,-102
177,123,-137
59,116,-156
-86,219,-47
-13,323,99
-67,310,230
-57,374,351
2,250,410
-98,161,447
-61,182,476
22,-8,514
-308,-80,567
-165,-151,597
-410,-276,660
-285,-185,688
-72,-396,571
42,-280,374
250,-371,205
247,-329,100
299,-265,20
330,-252,-45
364,-72,-62
334,-55,-116
187,93,-119
50,147,-164
-65,246,-82
-92,228,38
-2,317,177
-59,400,282
-39,281,358
0,258,408
-85,249,446
-28,19,471
-61,27,523
-220,-36,564
-235,-232,596
-135,-182,633
-443,-168,667
-476,-240,681
83,-456,541
208,-403,368
252,-350,232
270,-350,120
269,-301,32
319,-264,-7
345,-194,-53
390,-117,-82
351,0,-110
213,70,-125
74,180,-129
56,199,-149
-33,181,-50
-88,292,-5
-85,320,126
-84,354,230
-35,308,299
7,292,361
45,262,400
68,185,412
97,105,440
66,21,475
60,4,518
-166,-37,548
-303,-61,590
-419,-101,630
-492,-149,693
-507,-196,721
-345,-333,683
43,-455,567
251,-512,434
225,-442,297
249,-332,174
259,-276,78
301,-270,31
321,-239,-33
374,-137,-50
405,-60,-68
373,-6,-105
256,80,-129
90,113,-143
-16,232,-127
-71,221,-31
-76,266,69
-17,305,152
34,337,246
-9,362,336
-113,325,401
-55,211,432
84,112,443
44,56,485
-205,7,541
69,-71,531
-228,-93,574
-351,-93,643
-322,-304,674
-158,-319,640
-162,-221,608
-238,-167,527
106,-405,376
213,-402,186
241,-326,111
282,-243,30
338,-212,-10
369,-141,-45
351,-150,-81
331,-42,-100
203,2,-148
106,159,-168
-18,202,-125
-61,232,-9
-45,246,76
26,341,142
-6,372,246
-79,359,374
-73,256,423
3,172,417
29,120,421
-53,53,510
-151,26,560
-238,-58,596
-194,-154,605
-169,-216,619
-181,-237,624
-184,-242,632
-261,-237,626
-212,-199,529
38,-351,361
223,-381,203
222,-341,113
262,-257,25
307,-219,-15
337,-249,-13
369,-149,-50
346,-41,-82
279,74,-117
137,121,-109
76,133,-154
-20,204,-75
-63,257,18
-70,321,128
-28,340,227
-28,289,323
-21,287,365
-80,279,431
-83,189,467
-4,52,461
-28,-60,502
-184,-51,569
-273,-86,630
-205,-205,641
-168,-227,629
-285,-237,649
-316,-210,632
-151,-328,552
215,-453,365
209,-352,175
234,-297,83
276,-265,37
332,-252,-17
368,-190,-59
380,-101,-74
276,-46,-105
177,92,-137
73,181,-153
-26,186,-99
-74,197,-58
-53,296,74
-59,378,215
-49,400,307
22,325,354
46,228,381
5,199,432
14,133,468
78,3,472
22,-19,501
-203,9,571
-294,-55,611
-246,-221,640
-115,-274,642
-114,-242,650
-372,-223,646
-198,-294,549
249,-451,304
252,-323,148
249,-320,65
311,-326,5
342,-232,-44
343,-101,-82
324,-92,-94
196,95,-120
17,210,-137
-25,191,-120
-81,258,49
-89,331,167
41,347,233
-72,316,355
-18,264,387
44,231,443
-107,87,483
-5,-42,504
-316,3,629
-439,-317,761
-267,-232,643
-454,-173,708
-111,-328,624
-204,-323,540
244,-419,261
264,-374,102
289,-294,39
334,-247,-44
373,-183,-87
352,-37,-106
224,65,-114
165,74,-170
-39,267,-103
-33,189,-48
-56,337,144
-115,311,278
-93,340,373
-33,248,391
-62,246,479
-32,3,478
-139,18,544
-92,-175,554
-372,-146,636
-380,-209,684
-250,-318,628
-229,-228,537
249,-390,246
289,-353,102
