accX,accY,accZ
336,-9,86
260,101,145
227,84,183
224,72,253
126,177,287
112,184,378
138,106,417
12,157,472
-29,211,492
-2,114,488
-83,1,529
-217,96,542
-286,106,541
-283,36,545
-275,-101,584
-330,-149,581
-364,-175,561
-482,-265,586
-641,-141,568
-679,51,496
-476,-91,446
-349,-265,452
-245,-238,409
-41,-262,243
70,-352,135
164,-230,79
222,-96,-5
260,-56,-18
236,-75,-6
262,-50,-11
284,-45,-14
312,-16,-26
345,-19,-48
386,-38,-66
412,-38,-63
439,-22,-46
421,-12,-10
390,16,36
329,53,96
270,88,163
211,137,214
177,143,292
153,125,388
105,116,440
3,137,485
-83,156,498
-52,54,524
-82,-3,550
-185,-12,558
-338,14,561
-443,25,567
-512,11,586
-496,-38,581
-383,-235,587
-668,-138,575
-657,-12,532
-417,-221,543
-803,-364,672
-847,-457,676
-783,-305,579
-670,-494,577
-411,-623,483
-286,-434,395
-16,-263,177
176,-297,84
212,-129,9
197,-142,-2
233,-103,-15
258,-134,-17
243,-117,-12
301,-89,-5
301,-86,9
310,-78,-3
341,-64,-7
310,-8,-17
309,-87,-28
399,-84,-33
381,-108,-29
363,-121,-45
429,-120,-54
362,-111,19
324,-41,77
369,21,94
300,-77,137
227,-4,218
174,129,275
125,14,308
61,10,404
-11,24,467
-14,53,500
-47,-15,538
-110,-36,597
-153,-32,572
-168,-161,628
-340,-147,643
-287,-168,604
-408,-202,672
-432,-206,627
-468,-313,694
-531,-281,644
-588,-369,727
-616,-368,667
-767,-392,727
-681,-446,735
-780,-327,678
-705,-563,745
-827,-415,688
-796,-602,782
-829,-540,697
-886,-358,688
-785,-619,772
-829,-605,682
-855,-352,674
-768,-646,727
-800,-566,640
-929,-618,696
-646,-685,699
-684,-543,601
-672,-363,550
-447,-626,573
-434,-479,451
-425,-401,431
3,-603,431
-43,-361,222
-52,-251,176
155,-314,163
180,-222,56
174,-138,15
200,-128,7
229,-161,-6
213,-131,-21
265,-133,-9
257,-139,-23
288,-104,-19
293,-132,-15
300,-88,4
335,-116,-12
328,-97,-10
354,-79,3
333,-86,-11
337,-62,-10
365,-59,3
356,-63,-1
347,-54,-27
354,-28,-26
379,-100,-27
365,-83,-43
415,-92,-36
389,-121,-60
396,-78,-58
432,-149,-44
388,-110,-39
426,-141,-46
418,-128,14
396,-86,-7
369,-115,78
342,-102,79
318,-65,153
269,-62,160
241,15,241
205,26,221
151,11,335
104,49,306
90,-1,418
-10,104,406
12,-24,466
-62,122,484
-42,-56,542
-85,47,539
-107,-76,590
-150,30,555
-169,-107,626
-205,-109,578
-264,-156,638
-299,-158,590
-433,-174,634
-380,-289,638
-455,-125,618
-481,-273,679
-479,-354,638
-663,-296,676
-578,-438,693
-778,-374,702
-670,-479,704
-860,-420,721
-770,-531,721
-987,-423,736
-827,-565,712
-982,-484,767
-828,-534,684
-812,-614,793
-827,-389,621
-678,-690,700
-757,-497,572
-447,-540,467
-281,-441,406
-68,-285,204
134,-280,174
166,-170,45
189,-122,9
225,-141,-9
254,-148,-15
280,-90,-28
290,-128,3
305,-67,1
333,-53,-7
342,-88,-1
344,-77,-11
358,-4,-35
366,-121,-20
398,-76,-22
416,-106,-80
413,-173,-53
373,-141,15
371,-73,86
379,-93,53
303,-40,141
211,14,225
136,22,316
60,-2,395
30,5,483
-15,-7,550
-97,-47,596
-206,-55,600
-361,-92,616
-459,-167,631
-566,-261,653
-696,-324,690
-798,-365,710
-898,-373,720
-931,-461,750
-957,-481,757
-956,-498,746
-806,-514,698
-507,-591,593
-93,-543,409
177,-312,146
188,-127,-6
236,-99,-22
259,-130,-18
303,-91,0
321,-72,13
335,-70,-9
388,-107,-27
430,-183,-53
428,-166,-50
407,-106,-1
321,19,111
206,36,222
96,72,301
42,34,387
20,15,472
-28,-3,553
-69,1,543
-141,-40,554
-240,-53,584
-351,-70,592
-460,-156,627
-591,-186,669
-794,-399,716
-901,-416,724
-972,-473,747
-939,-510,752
-826,-596,764
-701,-651,722
-417,-693,606
-40,-582,413
154,-316,159
192,-132,-3
231,-132,-21
280,-121,-17
310,-87,-6
334,-63,10
351,-76,4
367,-69,10
371,-84,-7
365,-84,-26
377,-106,-71
376,-125,-52
391,-158,-8
383,-136,65
326,-106,156
242,-72,237
151,-26,322
62,-10,417
14,-11,483
-46,-53,550
-117,-87,585
-189,-154,602
-274,-209,618
-372,-296,644
-532,-275,674
-674,-291,688
-790,-388,716
-903,-402,723
-927,-456,737
-846,-536,767
-805,-601,752
-688,-719,676
-463,-590,487
-85,-308,184
176,-148,35
236,-134,2
277,-108,-2
315,-78,2
343,-86,-7
337,-73,-29
335,-52,-52
357,-94,-51
378,-89,-22
397,-95,28
367,-62,84
319,-10,171
248,37,257
149,46,351
71,28,423
18,9,484
-27,-24,559
-103,-60,605
-212,-60,615
-366,-105,612
-364,-84,593
-417,-236,607
-507,-356,656
-611,-434,726
-715,-430,736
-843,-447,739
-1009,-443,728
-845,-565,690
-849,-632,708
-820,-665,719
-678,-721,693
-391,-641,577
-162,-484,397
-19,-221,158
176,-130,28
208,-128,-3
247,-115,-13
292,-89,0
319,-81,-1
325,-65,-10
322,-64,-21
341,-68,-38
370,-100,-58
406,-82,-60
416,-87,-37
405,-51,17
368,-22,96
265,80,194
114,85,314
48,72,402
-7,9,478
-70,-33,529
-129,-107,560
-207,-94,565
-346,-86,597
-553,-244,661
-586,-366,722
-692,-472,691
-792,-455,665
-922,-260,698
-1024,-467,718
-902,-528,671
-429,-661,592
-7,-579,366
170,-245,71
175,-112,20
240,-117,-17
291,-100,-25
316,-75,-24
328,-77,-11
361,-44,-6
391,-49,-11
424,-104,-24
444,-172,-23
416,-121,8
384,-65,79
217,-37,172
94,69,275
51,76,398
11,25,475
-49,-42,534
-125,-69,566
-197,-112,570
-306,-143,582
-452,-152,627
-639,-326,705
-659,-429,744
-753,-458,732
-788,-511,760
-839,-516,767
-814,-542,772
-722,-566,711
-443,-606,601
-124,-488,420
100,-256,175
189,-116,16
238,-110,-5
288,-98,-11
311,-70,2
335,-54,3
346,-33,-5
370,3,-14
393,-50,-36
396,-134,-53
410,-153,-45
395,-139,-9
347,-78,65
301,-36,146
253,-17,220
163,54,313
73,38,405
32,4,481
-41,-23,542
-109,-82,579
-190,-96,579
-274,-176,587
-405,-207,607
-514,-275,655
-669,-211,682
-865,-400,739
-833,-454,770
-790,-541,758
-810,-592,725
-706,-580,616
-450,-444,445
-67,-240,182
185,-143,40
238,-114,0
276,-103,-9
304,-84,-3
319,-97,-21
324,-95,-19
349,-86,-37
402,-109,-40
405,-105,-13
371,-106,25
340,-31,85
249,-38,206
160,52,328
51,7,404
0,5,457
-28,18,546
-96,-57,593
-183,-104,574
-310,-118,588
-544,-181,650
-540,-335,710
-653,-415,698
-769,-443,676
-870,-328,670
-1018,-492,734
-809,-541,702
-399,-639,586
-43,-481,316
147,-210,61
227,-169,2
272,-172,-15
309,-148,-16
341,-132,-8
365,-127,-11
359,-82,-20
378,-100,-37
403,-135,-49
426,-148,-36
408,-146,-2
392,-122,46
312,-51,123
258,3,198
117,101,253
32,105,326
44,101,384
18,71,442
-17,26,505
-84,15,584
-201,76,600
-193,-25,583
-278,-78,592
