accX,accY,accZ
19,-13,251
17,-12,247
17,-12,250
17,-13,251
16,-13,250
18,-15,250
17,-14,251
18,-13,251
18,-14,250
18,-13,251
17,-13,251
18,-13,250
18,-15,252
17,-13,249
17,-13,249
18,-13,250
17,-15,254
16,-12,249
15,-13,251
18,-14,249
19,-13,250
17,-13,250
20,-13,250
16,-14,253
16,-14,252
16,-13,248
19,-13,249
17,-13,248
17,-12,250
17,-14,251
16,-14,253
17,-15,253
19,-13,250
15,-12,247
18,-14,252
17,-13,251
16,-13,251
18,-15,251
18,-14,250
16,-13,249
19,-13,249
19,-14,251
17,-14,253
17,-14,250
18,-13,251
18,-14,250
17,-13,251
17,-14,251
17,-14,251
18,-13,253
17,-15,254
18,-14,249
18,-13,250
18,-13,251
16,-16,254
17,-13,248
17,-12,247
18,-14,250
18,-13,250
17,-14,249
16,-13,253
17,-14,249
16,-14,251
18,-14,253
17,-14,252
18,-14,253
17,-13,249
19,-14,252
17,-14,250
17,-12,248
18,-14,251
15,-14,252
18,-11,249
16,-13,248
15,-14,252
17,-13,250
16,-13,251
18,-12,247
16,-12,251
19,-14,250
17,-13,248
18,-13,251
17,-12,251
17,-12,247
18,-15,253
17,-13,250
18,-13,250
17,-14,252
18,-12,250
17,-14,251
17,-13,250
17,-11,248
19,-12,249
16,-12,249
17,-13,249
17,-12,248
17,-16,253
18,-14,252
17,-13,251
15,-12,248
16,-13,251
17,-14,253
17,-12,249
18,-14,250
19,-12,248
17,-14,254
17,-14,250
18,-13,250
17,-14,251
19,-13,247
17,-13,250
17,-14,251
17,-14,251
18,-14,250
19,-13,249
16,-14,251
17,-13,251
19,-14,250
18,-14,251
18,-12,250
15,-13,253
18,-13,250
16,-13,250
17,-12,249
18,-14,253
18,-13,249
18,-14,252
18,-13,247
17,-14,251
17,-12,249
18,-15,253
17,-12,250
17,-13,251
18,-13,249
18,-14,251
19,-12,247
18,-14,253
19,-12,248
18,-12,250
16,-13,251
17,-12,249
16,-13,252
18,-12,248
17,-14,252
18,-12,251
17,-14,251
19,-13,248
16,-13,250
18,-12,249
18,-12,251
17,-13,249
19,-13,251
17,-14,250
17,-14,253
18,-14,250
17,-13,252
18,-13,251
18,-14,249
17,-13,251
18,-14,251
17,-12,248
16,-12,248
17,-14,250
17,-12,250
17,-13,249
17,-13,251
17,-12,249
17,-12,249
18,-14,250
18,-13,250
18,-13,249
16,-13,252
18,-13,252
18,-11,247
17,-15,252
18,-13,248
18,-15,250
18,-14,249
18,-13,248
18,-14,251
18,-13,249
19,-12,247
16,-12,249
16,-14,251
18,-15,253
15,-14,253
18,-12,249
18,-13,250
17,-13,250
17,-12,250
16,-13,249
17,-14,251
18,-14,251
17,-14,251
16,-13,247
17,-13,250
19,-14,249
17,-13,249
17,-12,248
17,-12,248
17,-15,250
17,-14,247
18,-14,250
17,-12,250
18,-13,248
20,-12,248
17,-12,250
16,-11,249
17,-13,250
16,-13,248
18,-14,252
15,-14,251
16,-13,251
17,-14,252
19,-12,248
18,-13,250
16,-13,252
17,-13,250
17,-14,252
17,-14,251
17,-14,251
16,-14,250
16,-14,249
17,-13,250
17,-12,248
18,-13,251
18,-12,248
18,-13,250
17,-14,251
18,-13,250
16,-11,249
17,-13,249
16,-14,250
17,-15,252
16,-14,250
17,-13,251
15,-13,249
17,-13,250
17,-13,250
19,-15,254
17,-13,250
17,-14,251
18,-15,252
18,-15,253
16,-11,250
17,-14,253
17,-15,254
18,-13,248
17,-15,254
17,-12,249
17,-14,251
16,-14,253
17,-13,246
18,-16,253
19,-13,252
18,-14,250
18,-12,247
17,-13,250
18,-14,251
18,-14,253
18,-13,251
17,-14,251
17,-14,252
19,-13,249
17,-13,250
18,-14,251
19,-15,251
18,-14,249
18,-15,251
17,-12,249
17,-13,249
17,-13,251
18,-13,251
17,-13,248
17,-13,251
18,-15,251
18,-13,251
18,-15,251
19,-14,250
18,-14,252
17,-14,253
16,-14,248
16,-14,252
17,-13,250
17,-14,251
17,-11,244
16,-12,248
17,-12,249
17,-14,254
16,-11,247
17,-13,251
17,-14,253
15,-14,252
19,-14,250
16,-14,253
17,-15,251
17,-14,250
17,-12,251
18,-14,253
17,-13,250
18,-13,250
17,-14,251
17,-14,250
17,-13,248
18,-13,252
19,-13,250
18,-13,251
17,-14,249
19,-12,248
17,-12,250
17,-14,252
19,-13,248
17,-14,253
17,-14,252
17,-12,249
16,-15,252
17,-14,251
19,-13,250
17,-15,251
15,-13,251
18,-13,252
17,-13,252
17,-12,251
18,-13,245
17,-12,248
17,-13,251
17,-12,250
17,-11,246
18,-15,252
19,-14,249
18,-12,247
19,-13,248
16,-14,252
16,-13,250
18,-14,250
19,-12,249
17,-12,247
17,-14,249
17,-13,250
17,-13,249
18,-13,249
18,-13,250
17,-12,250
17,-14,254
17,-13,248
15,-13,252
17,-14,252
19,-13,250
16,-13,249
18,-14,253
17,-13,251
17,-13,247
17,-13,248
20,-13,250
17,-13,249
18,-13,250
17,-13,250
17,-12,251
18,-14,248
16,-16,254
16,-16,254
17,-13,251
17,-14,250
17,-12,250
18,-13,246
17,-12,248
17,-12,246
17,-13,249
16,-10,247
16,-13,253
18,-13,251
16,-14,250
18,-15,253
17,-12,249
15,-13,250
18,-14,250
17,-15,252
17,-13,251
17,-13,251
16,-13,250
17,-12,250
17,-12,250
19,-15,254
17,-13,248
18,-13,251
16,-13,253
17,-12,249
18,-12,249
18,-15,252
18,-13,250
18,-15,253
17,-14,249
18,-12,247
17,-14,251
18,-12,248
17,-15,254
19,-15,252
19,-13,247
17,-11,247
18,-14,250
16,-13,250
19,-15,251
19,-16,252
18,-13,248
17,-14,250
18,-11,247
18,-15,250
16,-12,250
18,-13,250
17,-14,253
17,-13,249
17,-13,250
18,-12,249
17,-15,253
18,-15,250
19,-15,252
19,-13,249
16,-13,251
17,-13,249
18,-13,251
18,-13,248
16,-12,249
19,-13,248
18,-13,249
17,-12,251
16,-15,253
19,-14,248
17,-13,248
18,-13,251
17,-13,248
16,-15,251
17,-12,248
17,-11,247
18,-11,246
19,-14,253
17,-14,251
15,-14,254
16,-14,251
17,-13,251
17,-14,252
17,-12,248
18,-15,253
19,-14,250
18,-11,248
17,-14,252
19,-14,251
17,-13,249
18,-12,248
17,-13,249
17,-13,251
18,-12,249
16,-14,251
18,-14,252
17,-14,252
17,-14,250
17,-14,251
16,-13,250
19,-14,251
17,-14,251
18,-14,251
18,-14,250
16,-12,250
18,-16,253
17,-14,252
16,-12,246
18,-14,252
17,-13,250
17,-13,251
18,-14,251
18,-13,250
17,-15,251
16,-14,250
16,-14,252
17,-13,249
17,-13,249
17,-13,250
18,-14,250
17,-13,251
19,-14,250
16,-14,250
17,-13,250
17,-16,252
17,-14,251
15,-13,254
19,-13,249
16,-13,253
16,-13,249
17,-11,247
19,-15,253
17,-13,248
16,-14,250
15,-13,250
18,-14,250
18,-14,250
18,-13,250
17,-14,251
17,-14,251
16,-13,249
17,-13,250
