accX,accY,accZ
37,-52,221
36,-50,213
17,-53,227
11,-68,226
-15,-72,235
5,-51,242
-17,-70,243
-27,-123,258
-13,-111,262
-3,-86,253
39,-78,241
56,-61,217
53,-24,206
43,-33,215
16,-50,221
-16,-84,250
-34,-106,257
-29,-113,255
-26,-103,265
8,-85,242
13,-79,226
23,-85,225
40,-68,227
62,-23,210
29,-55,234
15,-69,229
1,-104,244
31,-75,234
33,-47,216
20,-78,224
29,-75,221
14,-51,243
-8,-62,250
-20,-83,249
-10,-80,252
-25,-88,250
-23,-119,243
3,-91,251
32,-61,221
21,-73,218
42,-72,224
52,-35,227
41,-40,220
15,-82,218
1,-46,252
0,-58,250
-15,-75,232
-10,-78,244
-1,-70,233
13,-74,221
32,-58,218
41,-62,226
39,-63,225
17,-59,247
-6,-92,247
-32,-96,251
-23,-108,261
-20,-94,266
0,-90,253
20,-90,240
33,-55,232
24,-39,221
-13,-96,263
2,-91,253
38,-73,238
51,-64,217
54,-23,203
40,-31,214
10,-47,225
-11,-84,243
-21,-96,261
-19,-86,250
-1,-92,234
18,-68,224
22,-65,229
30,-79,221
29,-53,227
15,-42,229
-8,-66,216
-19,-72,243
-23,-80,238
3,-74,231
36,-66,212
59,-46,212
61,-40,198
46,-26,215
16,-42,225
-4,-47,237
-7,-91,240
-16,-102,263
4,-107,243
13,-88,230
43,-30,205
36,-48,233
-9,-62,254
-28,-111,249
-36,-108,254
23,-67,220
9,-78,222
-12,-86,244
-24,-102,260
-29,-108,257
-13,-97,249
18,-73,235
42,-44,207
51,-25,207
47,-47,213
33,-44,228
5,-51,241
-3,-83,231
-9,-79,246
-4,-92,249
8,-108,249
19,-86,230
23,-76,222
12,-66,220
6,-76,221
-10,-52,249
2,-66,254
-1,-78,231
-23,-96,262
-15,-109,252
3,-103,253
35,-76,245
51,-65,228
45,-30,209
22,-35,209
7,-40,223
-1,-50,239
-2,-91,257
-1,-90,266
10,-87,254
39,-76,234
2,-63,254
-6,-77,259
3,-96,245
10,-79,247
44,-83,237
52,-46,223
43,-32,228
21,-44,231
3,-52,244
-7,-70,254
-8,-98,254
-23,-97,269
-7,-100,253
26,-81,242
41,-49,234
56,-41,221
59,-41,231
37,-50,241
3,-52,243
0,-89,246
-20,-96,259
-4,-109,254
28,-89,229
37,-60,229
50,-38,213
25,-42,251
-21,-71,263
-30,-108,255
-21,-110,252
0,-107,246
20,-81,223
25,-67,224
33,-55,223
13,-45,229
-1,-61,241
-19,-84,233
46,-36,211
45,-28,214
18,-51,209
-5,-49,231
-17,-67,240
2,-89,241
4,-75,236
16,-74,233
28,-55,223
47,-49,218
31,-63,229
13,-65,244
-10,-83,250
-29,-108,239
-40,-114,250
-24,-113,248
-4,-103,246
19,-95,241
40,-49,233
41,-37,229
33,-45,228
24,-67,239
6,-49,244
-17,-63,234
-27,-97,261
-29,-118,239
-6,-105,237
23,-94,232
32,-53,228
61,-34,223
51,-49,223
27,-37,242
-1,-51,242
-21,-91,243
-42,-108,255
42,-63,226
38,-41,236
16,-47,217
-9,-81,242
-24,-78,258
-9,-85,253
-19,-79,237
-23,-111,247
1,-100,240
25,-86,241
61,-51,221
60,-32,205
41,-40,200
24,-35,227
6,-49,233
-9,-81,235
-8,-88,258
10,-82,252
42,-77,237
68,-55,221
61,-24,206
47,-42,208
19,-49,235
-9,-72,243
-21,-81,228
-17,-79,239
7,-79,233
28,-64,216
38,-51,214
53,-38,210
46,-38,203
27,-32,224
-3,-48,239
-3,-85,252
-12,-84,256
4,-87,249
32,-68,234
2,-46,246
-11,-75,253
-17,-84,245
11,-78,226
33,-57,216
45,-49,219
38,-76,227
41,-69,225
26,-54,243
-6,-69,251
-29,-96,259
-34,-100,257
-31,-107,259
-8,-100,249
25,-93,237
41,-60,233
41,-44,232
32,-40,246
5,-64,241
8,-70,252
-16,-83,248
-8,-92,253
-5,-95,247
23,-81,239
44,-70,219
33,-73,225
20,-61,243
-7,-75,248
-26,-78,237
-13,-82,234
7,-78,231
26,-61,220
38,-62,212
54,-34,210
-16,-79,239
5,-77,243
30,-82,234
40,-65,228
26,-64,228
9,-79,231
-10,-84,251
-26,-88,254
-29,-93,243
-15,-80,239
7,-86,228
33,-75,233
48,-59,232
49,-46,230
21,-55,241
-9,-94,235
-35,-93,247
-41,-93,268
-25,-90,259
10,-80,231
12,-64,216
17,-65,226
34,-67,218
34,-52,227
62,-42,229
30,-34,219
10,-61,235
-9,-89,266
-13,-98,268
1,-98,258
24,-76,244
25,-56,231
28,-62,226
11,-72,221
-9,-83,239
20,-65,230
43,-32,204
25,-44,229
-9,-74,249
-30,-100,248
-31,-105,264
1,-101,251
4,-91,245
8,-87,234
32,-69,217
26,-63,220
4,-66,226
-9,-83,247
-14,-71,231
4,-91,262
-4,-95,255
23,-81,229
41,-48,217
47,-36,223
-8,-77,246
-15,-85,251
1,-85,264
2,-100,247
22,-68,227
50,-32,222
16,-57,232
7,-45,241
-26,-109,252
13,-92,241
18,-66,230
39,-38,223
8,-61,241
1,-66,244
-31,-100,252
3,-103,241
3,-56,247
-14,-77,256
25,-69,229
34,-67,218
25,-69,229
-23,-81,259
-11,-89,265
26,-65,224
34,-48,204
16,-48,232
-9,-72,251
-12,-101,250
22,-77,224
33,-48,218
-4,-51,244
-13,-94,257
33,-74,231
43,-40,224
4,-56,249
-17,-97,261
-2,-86,246
36,-60,230
20,-65,230
-17,-91,251
-8,-82,235
42,-44,227
30,-52,231
-15,-85,250
4,-92,254
33,-58,220
3,-66,247
-16,-101,253
20,-73,232
36,-57,219
-17,-90,256
41,-41,222
6,-88,237
-17,-80,255
22,-70,237
32,-55,222
5,-71,251
-19,-97,261
19,-72,230
39,-41,221
12,-58,245
-12,-100,260
25,-76,233
44,-48,226
3,-73,245
-33,-106,259
-5,-96,235
39,-77,220
24,-58,236
-19,-85,248
-9,-85,238
51,-54,222
42,-44,237
-16,-105,249
-16,-85,231
46,-46,228
34,-63,235
-22,-82,250
-4,-88,236
61,-41,227
4,-81,257
-27,-96,241
30,-71,225
54,-53,229
-3,-66,245
-36,-79,241
33,-46,252
-44,-94,249
-3,-85,231
59,-73,227
32,-54,241
-39,-76,252
-5,-93,237
50,-73,225
36,-58,245
-29,-83,245
-9,-92,237
46,-45,226
42,-58,229
-21,-101,249
-12,-86,244
38,-64,218
56,-38,224
5,-63,249
-20,-91,254
33,-71,228
42,-37,229
-4,-79,242
-36,-99,261
-8,-92,234
50,-39,208
14,-55,251
-41,-99,254
10,-77,221
47,-38,226
9,-82,252
-19,-99,245
24,-70,232
37,-57,227
-2,-59,244
-13,-101,251
21,-56,237
-15,-80,247
3,-85,239
47,-46,219
47,-49,226
8,-54,243
-21,-89,249
13,-77,218
39,-61,227
31,-62,235
-23,-70,262
-31,-89,256
31,-74,237
57,-43,230
8,-55,254
-37,-109,252
-3,-85,237
60,-69,227
43,-50,243
-38,-94,254
-17,-89,223
54,-45,219
57,-50,223
-8,-51,243
-36,-89,244
10,-80,216
55,-45,219
26,-53,244
-24,-84,244
-21,-87,240
30,-64,222
43,-40,220
3,-49,245
-17,-89,256
30,-66,220
47,-24,219
-27,-105,257
24,-70,228
44,-57,230
-1,-77,237
-37,-101,258
-5,-88,242
40,-82,214
22,-56,249
-17,-93,257
-24,-110,244
29,-65,223
46,-51,212
-2,-48,241
