accX,accY,accZ
-19,-28,229
-25,-23,246
-22,-59,259
-22,-92,276
-5,-78,277
52,18,269
48,-31,269
24,-57,245
17,-12,232
6,-22,216
30,45,235
53,0,265
59,16,263
65,27,247
25,-23,225
42,34,235
7,-28,228
45,44,237
-18,-31,230
14,24,237
14,31,223
-9,18,235
-16,-35,226
14,34,258
3,-39,261
-25,-95,277
37,-1,269
-4,-90,268
45,-25,275
69,24,253
67,22,249
51,9,229
16,7,236
-23,-40,226
-26,-2,238
8,-17,260
17,48,272
13,-49,275
-1,-97,264
53,6,263
37,-20,270
24,-46,252
66,-12,246
63,67,230
21,0,230
-15,-13,235
6,-86,263
55,-21,260
41,-4,248
16,-44,228
15,15,225
34,16,230
23,46,229
-20,-26,238
-42,-68,255
-38,-117,268
1,-95,275
32,-70,261
20,-65,244
72,37,248
42,6,235
26,19,229
39,46,225
-8,-11,237
-38,-46,225
3,6,263
17,34,261
10,-18,275
-2,-90,281
4,-92,260
68,-4,264
63,23,240
53,22,240
8,-35,227
30,43,235
-10,-7,234
3,23,234
6,37,241
-44,-64,258
16,5,262
3,-28,273
5,3,231
24,-1,235
15,35,237
-33,-51,232
16,38,258
-11,-41,262
-34,-87,279
41,0,259
22,-26,273
5,-81,262
61,-34,265
49,2,246
65,0,242
33,12,240
57,21,231
20,17,233
4,-8,227
17,21,238
17,9,233
-14,1,235
-31,-48,230
10,26,247
-6,-15,254
-31,-49,264
11,14,265
-31,-86,277
-9,-88,279
32,23,273
0,-76,271
41,2,272
19,-65,272
20,-55,243
77,37,243
54,9,233
5,-5,232
-16,-96,263
41,-20,270
54,-16,266
29,-60,242
62,26,249
52,23,234
2,1,234
33,12,238
34,52,231
1,-4,242
-23,-42,256
-38,-83,280
10,-78,291
48,6,260
55,-5,270
28,-27,247
29,-44,230
65,43,233
-8,-33,222
43,46,233
18,19,231
-32,-21,234
2,5,250
-14,-38,264
2,-4,270
-9,-53,274
33,4,265
-3,-93,275
43,-28,272
49,-16,269
28,-28,250
64,30,240
17,-8,241
59,44,226
20,-5,235
-5,-69,271
18,-54,279
45,1,265
4,-85,273
39,-22,258
54,-13,253
32,-23,249
42,-11,249
35,-15,246
60,50,229
19,19,234
-15,-16,223
24,56,225
-28,-46,223
-21,-22,263
12,24,261
39,32,273
33,-46,277
14,-78,267
67,18,256
35,-63,249
68,43,240
19,-41,228
67,59,231
4,-20,216
49,54,232
-13,-26,223
28,39,236
9,17,242
-42,-54,255
5,-24,279
19,-12,278
-20,-104,274
32,-55,279
33,53,224
-9,-18,238
-33,-46,260
-14,-60,286
31,27,271
29,-22,282
26,-76,263
38,-9,246
69,34,234
24,-11,234
25,-17,229
53,74,225
-7,-21,229
-10,27,230
15,14,249
7,24,270
-22,-109,276
-15,-95,285
52,-4,270
67,18,260
73,1,245
49,15,238
11,2,232
-9,-9,223
27,39,238
-24,-41,229
4,22,260
17,-17,261
-19,-70,271
-13,-100,265
45,5,267
61,-7,268
31,-40,247
18,-12,239
56,9,238
36,22,269
29,-41,276
16,-85,272
54,-24,265
73,26,232
46,29,238
1,-34,222
41,54,229
6,12,236
-31,-20,235
-8,-35,267
16,36,275
37,14,274
24,-16,280
31,-73,265
31,-55,257
69,51,242
32,-15,229
47,36,237
46,42,221
-12,-2,231
28,11,236
-26,-20,237
13,10,248
-4,5,273
-33,-107,269
34,26,269
11,-77,271
16,-66,273
57,12,253
31,-66,246
77,38,242
59,24,233
29,22,226
30,9,264
-17,-94,273
47,-38,275
6,-88,264
59,20,258
33,-59,252
70,39,242
46,2,233
23,18,228
45,39,228
-5,7,229
18,26,231
2,20,233
-18,-29,235
1,7,262
-6,-36,260
-28,-87,280
29,-32,269
-10,-107,275
46,-8,265
26,-72,272
69,0,259
63,10,247
29,3,233
7,-31,218
49,62,227
-6,-22,228
2,23,227
-5,-4,237
-12,-8,257
0,-19,262
-21,-77,279
29,-24,266
-11,-93,272
43,-12,264
25,31,230
-28,-18,237
-17,-46,267
9,13,265
-15,-55,281
-3,-60,279
20,-27,278
-5,-81,272
52,7,261
31,-64,271
55,-12,256
31,-69,253
46,-11,249
72,10,232
29,0,232
53,-3,239
32,33,237
-12,-30,231
23,35,239
-7,-14,235
-36,-53,260
16,9,253
-35,-95,281
32,-31,267
-9,-100,266
44,-26,271
37,-22,274
24,-38,242
62,26,241
23,-16,235
58,31,225
15,5,232
31,16,232
5,20,239
16,-79,267
67,-28,260
61,16,246
20,-48,230
56,29,240
44,30,227
-9,0,235
19,2,236
7,31,246
-33,-76,249
22,32,272
12,-53,271
7,-82,277
31,-57,273
52,2,267
33,-35,244
64,-17,243
65,65,235
23,1,232
-8,-8,227
21,9,232
-6,0,253
-18,-52,263
10,29,270
-23,-96,278
33,17,263
15,-56,272
14,-84,268
41,-10,243
70,-16,239
65,61,227
15,4,235
-15,-3,232
5,-22,234
-1,7,251
28,-37,255
62,29,243
20,-7,240
60,22,230
23,21,233
-4,-28,229
29,57,224
-17,-44,233
-37,-56,255
3,-26,280
35,28,265
33,-45,275
24,-60,272
40,-17,247
83,20,238
68,57,230
14,16,232
-7,5,231
29,11,229
-23,-8,240
-31,-75,257
17,16,271
-21,-88,277
18,-37,279
20,-41,270
6,-90,269
67,10,255
30,5,251
20,-21,236
21,-26,220
44,58,222
-3,-3,240
-21,-23,239
-42,-89,257
12,-41,231
61,43,238
14,-16,226
51,55,227
-10,-17,227
-9,1,233
14,33,239
-30,-53,267
6,-35,280
28,5,268
-10,-97,273
33,-54,278
63,24,257
30,2,252
14,-10,233
5,-30,219
5,7,233
24,-4,235
7,49,250
-42,-88,260
18,23,275
-1,-58,271
-17,-86,278
50,7,259
16,-34,267
18,-42,247
68,30,228
56,34,234
10,-21,219
11,23,224
26,-3,235
10,53,249
-22,-57,262
-32,-89,280
31,-5,263
41,32,228
-15,-8,231
-18,-39,228
10,48,253
-1,-9,262
-36,-91,279
24,0,264
32,1,279
22,-57,267
