accX,accY,accZ
76,-52,244
-59,-98,244
85,-71,225
-9,-64,255
-19,-111,226
95,-45,237
-54,-101,251
49,-85,222
43,-40,242
-55,-111,246
87,-48,222
-17,-83,257
2,-96,226
68,-46,232
-56,-93,248
78,-71,225
-6,-62,255
-31,-117,226
98,-48,225
3,-95,233
82,-42,236
-58,-97,253
60,-82,224
37,-36,235
-56,-112,247
79,-77,217
14,-56,248
-35,-100,238
96,-59,220
-40,-75,251
-7,-100,231
90,-38,229
-44,-97,258
25,-102,229
76,-53,238
-50,-102,253
53,-68,220
55,-41,241
-57,-94,252
57,-60,219
48,-38,237
-56,-94,244
65,-64,215
36,-58,249
-45,-110,245
87,-56,217
-11,-57,250
-31,-113,236
99,-49,224
-39,-77,256
8,-101,222
63,-47,231
-49,-100,251
48,-35,241
-55,-107,244
62,-69,217
19,-56,245
-47,-113,248
94,-50,220
-17,-86,257
-1,-97,227
87,-36,229
-52,-96,260
36,-92,224
51,-37,238
-56,-103,250
61,-73,216
22,-56,249
-39,-99,239
82,-43,214
-13,-80,253
-27,-117,235
90,-46,224
-40,-83,254
18,-99,223
69,-54,240
-54,-104,255
38,-85,223
57,-43,235
-57,-100,249
50,-55,217
38,-52,247
-52,-115,255
80,-68,218
4,-53,250
-37,-115,232
82,-56,222
-6,-104,230
84,-40,226
-51,-103,255
27,-97,223
72,-48,235
-53,-102,254
60,-79,223
55,-37,242
-62,-98,251
55,-56,218
40,-41,245
-59,-100,244
52,-57,217
50,-38,242
-58,-92,251
55,-63,215
46,-37,238
-60,-95,249
62,-67,212
25,-54,243
-46,-115,249
89,-52,223
-16,-79,254
-25,-125,237
94,-51,227
-31,-72,255
4,-99,231
90,-40,226
-40,-83,259
3,-89,224
86,-38,227
-48,-85,256
7,-91,225
86,-36,231
-49,-85,259
91,-40,235
-43,-80,257
6,-89,224
75,-43,230
-56,-102,256
41,-101,229
56,-39,240
-56,-97,248
64,-67,214
31,-53,250
-51,-116,248
89,-54,221
-4,-60,252
-30,-110,231
84,-55,224
-33,-78,252
-6,-101,233
94,-45,233
-47,-89,255
8,-97,221
74,-50,231
-56,-98,249
65,-77,227
47,-36,241
-65,-113,249
72,-78,219
26,-65,253
-41,-101,238
88,-55,225
-33,-74,256
15,-100,223
58,-41,246
-49,-109,245
84,-53,219
-17,-101,233
78,-34,226
-57,-98,251
59,-63,217
28,-59,258
-43,-117,239
90,-42,235
-62,-99,253
53,-64,220
36,-54,250
-44,-107,246
83,-49,222
-10,-59,245
-31,-105,234
83,-55,216
-11,-73,246
-37,-113,234
80,-58,225
-30,-77,256
1,-90,227
75,-45,230
-55,-103,257
56,-66,218
29,-54,250
-38,-105,245
85,-56,223
-34,-75,253
23,-102,225
50,-40,246
-51,-109,242
80,-40,213
-36,-75,254
36,-89,226
41,-53,248
-44,-101,233
-22,-83,263
10,-95,223
43,-45,247
-43,-104,230
89,-40,229
-63,-91,249
90,-51,221
-40,-84,253
48,-63,211
-8,-77,258
11,-97,226
39,-44,250
-40,-110,234
80,-42,233
-65,-101,247
84,-49,219
-39,-77,249
46,-81,223
31,-63,256
-32,-118,236
77,-37,233
-56,-92,243
83,-66,219
-22,-83,254
2,-92,223
67,-42,243
-44,-108,241
101,-48,230
-61,-101,254
68,-67,209
-16,-79,260
5,-98,228
47,-44,243
-43,-103,230
-27,-78,253
