accX,accY,accZ
19,-74,222
-42,-106,263
-7,-56,262
77,-59,219
50,-61,228
-45,-62,243
-15,-43,247
67,-56,213
58,-58,224
-15,-83,240
-45,-63,246
32,-67,224
86,-38,251
28,-26,231
-56,-97,234
-23,-94,233
57,-29,246
50,-51,218
15,-93,263
-19,-64,275
35,-16,212
45,-46,202
-29,-81,240
-46,-66,265
42,1,271
66,-75,188
13,-76,226
-27,-45,257
26,-16,263
-49,-140,235
-43,-87,241
39,-35,274
82,-49,260
7,-133,223
-49,-112,240
-15,-65,261
66,-19,261
68,-88,218
-12,-84,213
-54,-53,260
-3,-68,273
54,-56,216
62,-33,223
6,-41,236
-55,-117,241
-15,-78,234
63,11,267
89,-44,253
29,-88,223
-29,-101,237
-49,-47,269
37,-45,271
68,-55,200
52,-52,212
-41,-78,249
-42,-92,246
20,-66,228
86,-13,243
52,-25,236
-50,-140,232
-50,-86,234
-21,-51,273
77,-17,259
70,-91,204
-47,-114,231
-44,-25,270
66,-1,264
62,-76,203
14,-74,228
65,-47,244
5,-84,241
-47,-75,241
17,-68,228
80,-48,248
5,-77,237
-52,-84,247
23,-61,219
78,-35,253
33,-55,238
-49,-103,238
-13,-84,229
66,-30,248
73,-65,241
-37,-128,235
-36,-94,241
74,12,260
64,4,234
-14,-80,219
-47,-101,237
28,-11,270
79,-10,238
-2,-89,223
-19,-98,248
24,-38,269
84,-14,250
-22,-87,221
-51,-95,249
40,13,276
50,-28,222
-14,-104,241
-19,-81,227
58,-27,254
59,-28,238
-40,-90,236
-2,-66,238
97,-7,242
10,-81,239
-53,-63,247
56,-114,204
-49,-107,249
17,-11,275
48,-16,219
5,-108,238
-27,-80,264
30,-6,219
56,-48,231
-16,-92,238
7,-75,247
45,-5,238
45,-20,229
-35,-118,252
-2,-79,244
76,-32,241
32,-72,233
-30,-86,261
29,-53,239
69,-57,236
20,-44,238
-21,-77,265
21,-82,237
57,-31,225
-6,-28,237
-30,-76,249
25,-82,226
53,-36,229
9,-52,242
-21,-80,267
43,-26,226
71,-67,225
-32,-48,247
1,-44,279
41,-80,180
18,-102,225
-29,-61,278
35,-35,242
57,-99,221
-8,-94,278
52,-59,238
30,-61,270
-43,-50,234
41,-61,199
49,-81,255
-22,-54,281
24,-53,228
20,-94,205
-7,-86,278
7,-18,220
61,-58,236
-5,-97,277
-10,-56,219
58,-53,229
12,-61,272
-4,-38,235
49,-54,208
2,-99,267
-13,-34,246
22,-41,219
63,-99,226
-20,-78,276
-7,-12,225
67,-71,233
7,-102,249
-4,-36,230
59,-44,212
3,-72,257
-9,-53,263
53,-65,216
14,-88,276
-20,-31,244
48,-53,217
9,-109,261
-2,-45,222
70,-63,235
-18,-70,288
17,-30,240
46,-65,207
28,-38,233
39,-79,227
-22,-67,268
36,-38,245
26,-118,207
-23,-81,269
13,-16,216
27,-83,249
-17,-86,278
51,-41,210
11,-74,229
-1,-28,263
49,-33,223
-15,-149,219
-10,-83,268
50,-30,217
-2,-77,246
14,-50,264
63,-49,203
3,-67,219
-44,-49,271
63,-4,266
59,-106,201
-25,-119,252
-15,-23,275
35,-9,241
50,-106,188
-9,-97,235
-13,-88,278
31,-48,277
67,-96,205
23,-78,218
-28,-82,254
-18,-42,263
44,-61,228
65,-39,230
42,-17,226
-29,-78,245
-27,-91,255
35,-41,215
1,-73,248
-14,-87,261
4,-72,259
65,-28,257
63,-55,237
-59,-143,232
-33,-82,243
33,11,280
68,-6,235
-3,-94,219
-36,-98,240
37,-52,274
86,-35,255
-5,-137,232
-54,-100,245
-8,-37,266
65,-23,258
50,-111,228
-41,-114,226
-38,-79,260
34,-35,262
80,-69,205
25,-86,232
-40,-87,246
-20,-35,251
60,-66,220
74,-23,245
-1,-81,241
-74,-122,243
-11,-74,229
69,-35,259
82,-51,248
-42,-140,229
-43,-81,240
35,-6,269
86,-8,246
-19,-102,225
-39,-105,241
47,-51,226
-44,-82,255
-12,-57,254
92,-63,200
12,-73,222
