accX,accY,accZ
45,-68,258
87,-43,222
0,-29,225
-54,-85,256
9,-87,270
80,-47,245
67,-33,209
-4,-35,237
-23,-72,272
45,-83,261
68,-59,233
40,-42,207
-13,-35,229
-48,-101,253
15,-84,276
86,-53,243
64,-64,214
-15,-37,213
-30,-52,246
-15,-100,278
56,-65,266
73,-67,227
62,-13,215
-19,-69,218
-41,-53,260
-25,-95,269
57,-79,260
62,-54,226
74,-40,205
24,-13,217
47,-65,262
60,-75,224
60,-40,218
51,-34,207
-2,-30,239
-47,-63,257
-36,-83,270
11,-96,273
95,-58,236
54,-53,215
42,-31,215
-47,-79,243
-30,-75,274
51,-78,263
61,-56,232
48,-45,207
-2,-36,235
-40,-92,261
6,-92,266
82,-38,244
64,-58,215
-11,-46,220
-54,-90,257
4,-90,272
66,-41,229
38,-55,206
-41,-68,250
-5,-82,275
87,-65,243
54,-22,217
-39,-79,231
-11,-95,278
79,-56,245
68,-31,208
26,-94,265
84,-26,224
-12,-60,214
-19,-76,276
63,-61,247
39,-51,202
-41,-77,266
46,-67,265
81,-40,214
-46,-61,253
5,-87,267
64,-62,215
-36,-62,241
4,-76,273
89,-47,222
-30,-57,250
-1,-83,261
78,-40,212
-49,-72,262
51,-64,248
21,-50,213
-8,-96,273
66,-36,218
-31,-85,256
72,-54,221
-39,-57,253
76,-50,244
-17,-77,237
63,-77,244
-17,-48,238
34,-66,258
-9,-59,219
35,-89,264
39,-27,217
61,-46,238
-19,-76,232
51,-80,245
-6,-45,227
27,-70,257
18,-41,208
1,-94,277
37,-31,214
-25,-85,268
67,-47,207
-36,-78,274
83,-38,230
-41,-69,245
67,-77,245
3,-43,235
31,-74,259
33,-40,209
7,-92,281
55,-21,214
-37,-83,272
70,-57,214
-39,-81,258
52,-44,235
-17,-82,233
49,-83,252
-12,-39,218
28,-76,262
28,-40,209
-1,-93,271
54,-27,209
-34,-84,275
77,-48,215
-45,-80,262
66,-45,237
-11,-89,279
71,-59,220
-45,-80,262
68,-51,247
-2,-55,226
27,-87,261
43,-35,216
-22,-81,271
74,-57,223
-23,-57,238
41,-81,271
48,-41,212
-29,-88,272
61,-30,211
-30,-72,253
69,-79,249
6,-42,223
-7,-81,270
85,-37,214
-39,-76,261
75,-52,243
-4,-55,216
-2,-99,276
55,-19,211
-49,-84,263
77,-56,226
-26,-65,242
35,-66,259
22,-44,219
-5,-91,278
69,-21,213
-39,-86,256
76,-67,238
-28,-82,268
63,-39,222
-50,-86,255
73,-68,239
1,-42,227
26,-76,273
50,-52,210
-35,-87,274
79,-31,222
-34,-75,250
71,-71,243
3,-43,231
22,-72,259
45,-40,208
-15,-87,276
59,-15,208
-24,-81,269
73,-51,213
-25,-78,264
85,-37,234
-33,-77,251
54,-68,238
-30,-54,248
55,-47,237
-31,-70,246
58,-68,239
-19,-54,246
65,-44,225
-51,-91,248
86,-56,227
-46,-82,262
81,-39,229
-30,-76,253
57,-70,235
-8,-99,276
48,-31,223
-21,-89,273
52,-45,206
-15,-91,288
61,-19,215
-23,-89,264
66,-38,212
-25,-84,273
50,-20,212
-16,-92,279
51,-40,203
23,-90,267
7,-39,225
39,-65,255
-35,-65,236
69,-55,231
-38,-77,267
62,-31,217
-31,-92,270
54,-47,203
-4,-96,278
24,-33,216
22,-77,270
