accX,accY,accZ
28,-60,217
-2,-116,256
44,-54,209
5,-133,260
35,-33,206
1,-116,240
26,-55,227
5,-115,241
17,-63,230
2,-105,232
13,-60,230
21,-75,218
-5,-92,258
34,-53,210
5,-92,253
24,-69,228
21,-97,233
8,-93,241
30,-67,214
17,-117,247
28,-59,218
-20,-131,258
33,-56,211
-16,-123,240
30,-63,231
2,-102,229
3,-90,254
36,-85,221
10,-113,262
24,-55,211
-18,-113,278
29,-37,202
-5,-103,251
26,-44,223
2,-110,234
14,-86,259
26,-64,206
-3,-115,266
23,-70,217
14,-111,252
23,-74,226
16,-100,234
7,-86,237
34,-38,208
-21,-120,264
33,-57,219
6,-123,243
21,-57,228
20,-65,203
-9,-112,252
13,-96,234
14,-79,221
8,-99,256
25,-35,206
17,-139,247
20,-73,238
20,-76,223
2,-106,262
24,-49,204
0,-95,244
38,-44,220
-6,-109,232
10,-80,255
29,-95,214
0,-90,261
28,-80,212
1,-96,245
36,-63,226
-8,-96,233
9,-91,245
37,-14,192
-9,-132,261
42,-50,240
-11,-101,225
16,-77,257
35,-56,197
-26,-114,276
57,-52,221
-13,-132,249
38,-60,245
17,-55,212
-22,-123,250
42,-78,254
22,-65,209
12,-107,257
48,-49,209
-25,-136,262
55,-36,228
-17,-131,253
42,-57,249
1,-108,227
5,-106,271
27,-64,202
-11,-111,264
24,-62,221
-7,-103,244
14,-83,234
44,-90,212
-8,-122,242
38,-37,206
-21,-128,250
55,-50,243
8,-100,224
12,-72,259
39,-50,198
-29,-121,277
46,-36,209
-40,-102,243
38,-48,236
-5,-99,230
13,-76,257
18,-78,208
4,-89,259
34,-58,201
-21,-122,265
12,-77,264
38,-56,208
-29,-113,272
49,-51,224
-28,-100,244
19,-70,255
22,-57,210
-3,-98,255
41,-63,206
-25,-117,258
47,-63,215
-42,-92,249
45,-57,227
-12,-70,233
37,-96,239
4,-86,232
18,-94,243
30,-69,207
1,-107,251
44,-51,208
-5,-131,253
40,-49,221
2,-108,235
25,-70,237
12,-54,213
-7,-100,268
34,-35,201
-23,-106,274
34,-45,215
-4,-95,259
33,-49,227
-1,-99,244
28,-66,245
4,-117,232
-17,-134,253
51,-48,228
-18,-125,240
55,-55,232
-26,-111,233
40,-30,226
-9,-95,226
19,-79,255
20,-82,215
21,-82,258
33,-83,208
-13,-97,261
49,-47,213
-19,-134,270
49,-54,222
-12,-121,251
43,-59,248
-13,-91,231
25,-62,246
13,-94,224
10,-50,245
13,-80,212
5,-94,263
32,-93,205
-1,-107,263
38,-64,193
-6,-79,256
39,-49,202
-18,-87,256
50,-53,197
-35,-99,273
47,-86,215
-28,-126,266
61,-56,212
23,-63,198
12,-84,264
35,-77,208
9,-91,257
48,-52,202
-17,-93,256
44,-51,203
-39,-111,275
38,-60,218
-30,-137,270
50,-47,225
-23,-93,244
61,-46,234
-14,-136,254
41,-57,244
-14,-89,234
22,-65,254
5,-86,229
22,-64,263
31,-94,216
5,-92,257
42,-64,196
-20,-96,271
42,-71,209
-22,-94,250
39,-81,227
-13,-94,246
24,-86,228
6,-74,229
13,-95,248
30,-60,212
-3,-105,252
38,-34,205
-25,-122,238
-1,-79,267
34,-54,205
-32,-123,253
33,-73,229
15,-41,215
23,-104,249
44,-35,216
-5,-123,249
33,-40,232
11,-100,234
20,-56,237
25,-61,210
-8,-89,267
25,-52,208
-13,-92,260
26,-47,205
-23,-91,271
38,-34,211
-5,-91,255
43,-48,227
-6,-130,261
43,-54,246
15,-109,237
17,-77,261
15,-57,205
6,-94,257
34,-75,209
-32,-120,273
48,-56,205
-29,-94,254
34,-61,232
0,-95,232
9,-87,248
38,-69,211
-13,-135,254
40,-54,249
-17,-90,242
30,-63,259
13,-131,236
25,-66,251
28,-76,210
19,-51,253
16,-69,212
8,-79,266
32,-77,208
-15,-88,278
39,-88,211
-5,-77,268
39,-113,216
-12,-88,270
39,-100,211
-14,-79,267
44,-111,214
-3,-102,262
42,-64,197
-10,-78,255
41,-55,200
-39,-105,282
43,-84,221
-29,-132,270
50,-71,219
-36,-105,255
42,-80,243
-22,-131,254
46,-61,226
-4,-72,229
29,-83,240
-7,-100,235
-31,-99,266
54,-48,217
-28,-93,248
62,-40,229
-17,-115,250
40,-48,248
-23,-75,241
39,-58,253
-4,-105,231
27,-61,245
10,-99,224
13,-69,259
13,-66,213
4,-73,270
46,-99,211
4,-90,265
35,-75,199
-18,-95,267
42,-71,210
-36,-92,274
53,-86,207
-43,-108,273
46,-88,216
-32,-103,270
49,-84,214
-35,-111,266
48,-64,208
-36,-121,266
53,-59,214
-39,-86,246
54,-73,231
-35,-117,251
44,-51,230
-13,-61,229
-15,-84,258
57,-50,217
-23,-96,264
60,-49,227
-37,-94,252
43,-44,244
-21,-74,228
28,-61,247
16,-71,212
-2,-105,271
40,-52,207
-25,-113,262
40,-56,224
-2,-88,238
13,-90,243
40,-52,210
-23,-120,259
60,-34,225
-12,-118,239
34,-44,255
27,-70,219
-8,-97,276
40,-43,201
-36,-103,270
53,-35,233
-19,-127,247
52,-52,262
10,-124,236
16,-68,263
43,-60,200
-26,-112,274
44,-77,229
-16,-73,234
27,-76,239
53,-36,223
-21,-118,248
46,-37,255
6,-86,227
2,-77,272
49,-70,194
-42,-109,277
50,-57,212
-20,-91,246
43,-81,230
-20,-118,254
50,-59,228
-15,-77,244
44,-63,242
-6,-81,235
30,-88,235
17,-47,225
20,-97,248
45,-45,223
-16,-129,252
51,-53,229
-33,-102,234
50,-35,242
3,-94,231
16,-67,257
4,-78,221
10,-57,254
30,-62,209
15,-89,263
42,-39,198
-8,-85,260
37,-34,207
-24,-94,280
29,-51,216
10,-62,237
6,-85,239
16,-52,220
-4,-103,242
37,-22,208
-4,-115,260
36,-23,206
3,-109,236
33,-51,231
4,-120,246
19,-62,240
28,-101,226
-1,-64,254
26,-57,210
2,-86,270
33,-22,206
-12,-111,267
25,-27,227
3,-95,245
15,-40,233
25,-71,220
-9,-75,270
33,-70,207
6,-75,272
44,-80,215
0,-106,270
27,-65,215
-5,-103,260
19,-65,222
10,-92,246
3,-81,237
40,-69,225
-6,-103,251
41,-37,214
10,-116,239
19,-46,237
16,-88,234
13,-47,263
18,-82,220
-6,-77,275
33,-77,217
0,-85,271
27,-63,214
-3,-84,278
47,-81,207
-15,-98,272
36,-53,201
-4,-86,259
35,-66,215
-4,-98,252
22,-73,224
8,-81,233
4,-92,240
31,-69,219
0,-104,253
33,-42,212
-7,-101,240
26,-34,229
10,-93,228
26,-56,239
24,-67,209
-3,-82,271
36,-26,207
-28,-110,252
29,-44,236
17,-83,233
-6,-82,265
27,-61,207
14,-98,228
10,-65,257
23,-49,206
-1,-91,271
36,-29,209
-26,-101,261
40,-55,248
22,-70,233
8,-81,266
39,-62,204
-1,-88,252
36,-60,222
1,-89,243
3,-92,235
28,-59,216
4,-100,253
28,-37,216
0,-115,248
32,-53,233
23,-105,232
13,-67,263
30,-52,212
-11,-84,270
41,-28,207
-15,-92,252
30,-32,228
-1,-78,237
28,-52,246
11,-74,225
17,-83,265
34,-67,206
-9,-97,261
30,-70,233
4,-67,236
12,-74,218
39,-21,211
-22,-111,267
30,-47,237
13,-113,235
12,-61,258
26,-87,210
-23,-94,277
32,-55,220
-2,-75,236
