accX,accY,accZ
42,-46,250
59,-53,225
36,-64,217
-20,-97,244
-19,-110,249
24,-72,245
58,-44,232
43,-66,226
-11,-102,241
-20,-105,254
19,-50,249
52,-49,221
25,-80,227
-23,-111,262
10,-70,255
46,-45,229
38,-63,227
-13,-100,249
-11,-98,264
39,-55,241
46,-51,213
3,-90,239
-14,-110,255
21,-50,246
-13,-102,246
1,-91,251
46,-50,233
35,-63,220
-3,-99,246
-2,-88,256
32,-48,235
40,-52,213
-2,-88,234
-16,-106,257
22,-67,243
43,-45,216
18,-86,230
-18,-109,261
19,-70,248
57,-47,223
20,-64,221
-26,-107,257
21,-75,251
55,-48,219
-6,-91,228
-18,-90,255
45,-42,234
42,-65,220
-24,-112,251
8,-69,258
55,-44,224
25,-64,221
-27,-109,246
-6,-98,253
41,-51,244
62,-48,215
38,-56,213
-11,-101,238
-31,-100,247
48,-51,213
-5,-93,229
-31,-105,250
13,-73,254
62,-49,231
25,-60,218
-30,-107,243
-7,-96,251
48,-39,237
47,-49,215
-9,-101,241
-28,-103,260
33,-51,253
59,-49,227
23,-62,217
-16,-102,246
-20,-103,250
-12,-89,253
23,-64,251
39,-49,249
47,-48,241
53,-51,219
42,-52,206
19,-55,209
-3,-83,224
-24,-101,237
-30,-105,255
-8,-91,251
33,-50,257
58,-43,236
52,-54,211
-1,-83,230
-26,-110,250
-11,-81,252
15,-79,225
-29,-115,258
-7,-96,250
39,-49,244
58,-49,220
43,-60,216
-5,-95,225
-24,-111,249
-22,-111,258
1,-90,248
20,-63,251
44,-42,235
51,-53,221
42,-64,220
0,-78,224
-27,-112,251
-11,-89,254
27,-53,254
52,-48,224
23,-80,225
-26,-105,248
22,-64,251
63,-50,224
-3,-92,227
-20,-92,256
51,-46,242
53,-55,216
-17,-101,247
-17,-93,255
48,-41,238
51,-62,220
-19,-99,246
-14,-95,250
54,-49,235
-28,-110,253
40,-54,251
63,-48,221
4,-78,223
-31,-94,244
8,-68,259
47,-44,240
54,-50,213
28,-75,220
-16,-105,246
-21,-110,257
-21,-102,268
-4,-92,254
19,-69,255
24,-54,247
36,-55,257
31,-39,234
39,-52,242
37,-46,235
41,-51,240
43,-49,236
50,-46,228
49,-51,221
47,-58,208
19,-54,214
11,-77,226
-16,-106,248
-21,-114,264
-19,-112,265
-2,-83,253
19,-62,247
45,-43,237
51,-50,222
48,-53,207
-8,-95,261
24,-66,244
42,-45,244
42,-40,236
48,-39,227
54,-52,211
51,-51,222
42,-43,207
45,-57,208
30,-53,211
18,-76,225
-6,-90,228
-13,-98,237
-25,-115,259
-25,-109,252
-9,-88,252
16,-69,249
40,-44,240
52,-44,229
47,-49,207
18,-82,227
-16,-95,234
-25,-105,250
17,-70,254
49,-43,235
58,-46,216
31,-71,213
-14,-101,246
-30,-108,251
7,-69,256
42,-51,246
53,-45,218
38,-60,211
22,-67,250
40,-47,248
55,-38,225
55,-46,224
44,-52,204
34,-66,226
33,-61,222
42,-66,224
46,-59,207
43,-61,211
39,-61,215
35,-62,224
22,-52,207
26,-75,216
11,-80,229
-4,-100,227
-13,-98,237
-21,-106,242
-19,-98,248
-12,-106,267
-1,-92,255
22,-70,250
38,-48,241
42,-49,220
40,-58,209
11,-82,229
-8,-99,244
-17,-104,257
2,-87,258
26,-52,248
43,-41,220
29,-50,213
17,-80,229
-12,-94,236
42,-44,222
34,-57,215
9,-87,236
0,-104,238
-2,-95,242
-10,-96,243
-10,-87,240
-5,-93,246
-4,-109,259
2,-103,233
7,-68,224
19,-84,226
24,-45,207
32,-61,213
26,-39,204
35,-40,214
39,-59,230
39,-56,218
40,-53,222
42,-48,210
29,-54,206
29,-59,216
16,-75,217
10,-81,233
-10,-89,228
-6,-100,230
-5,-101,245
-6,-105,251
-3,-108,253
-4,-108,250
-3,-108,245
1,-105,241
1,-102,231
-3,-70,223
23,-69,245
15,-56,243
21,-65,255
18,-66,247
18,-62,247
18,-68,249
19,-65,245
25,-55,251
31,-49,239
39,-47,229
40,-38,217
39,-47,219
31,-51,208
14,-58,215
7,-80,229
-21,-101,242
-19,-105,257
4,-88,257
21,-69,255
29,-54,256
42,-47,231
44,-34,219
36,-57,209
37,-59,219
38,-60,222
41,-60,208
40,-56,210
33,-51,214
36,-32,219
35,-43,228
35,-57,238
38,-54,228
39,-51,229
40,-56,236
-3,-90,244
-13,-94,238
-18,-108,246
-11,-114,251
-12,-108,265
-14,-93,252
-16,-101,255
-12,-111,257
-10,-109,260
-15,-108,254
-19,-96,250
-3,-96,253
-6,-105,265
-15,-116,273
-10,-118,262
-5,-112,246
-16,-112,248
-10,-88,235
-7,-96,249
-7,-106,245
-2,-95,228
-6,-85,228
-9,-90,229
-4,-99,227
-7,-104,238
-10,-97,244
-16,-111,249
-10,-102,258
-11,-104,267
7,-80,257
24,-52,251
41,-47,227
45,-55,209
33,-50,213
3,-79,260
25,-57,247
42,-46,230
44,-50,207
37,-52,210
14,-63,212
-8,-93,232
-15,-111,244
-14,-106,255
4,-84,254
27,-52,255
41,-51,236
40,-48,219
29,-63,221
7,-80,234
-15,-101,239
-15,-112,262
7,-75,266
40,-54,247
45,-48,220
36,-54,213
-2,-76,226
-24,-108,260
-2,-93,257
37,-54,250
45,-52,215
12,-55,218
-11,-102,251
-15,-105,257
26,-70,253
43,-47,235
39,-46,215
22,-55,213
-8,-82,231
38,-51,240
48,-42,221
40,-46,215
28,-45,209
37,-56,208
34,-60,219
30,-59,222
30,-63,223
28,-60,218
20,-49,208
15,-63,219
12,-84,237
4,-72,225
-1,-100,231
-11,-101,251
-21,-105,244
-17,-110,266
-20,-105,259
-7,-107,259
-8,-105,271
0,-87,260
4,-91,255
20,-67,257
24,-63,250
34,-57,254
40,-49,230
43,-43,214
41,-48,203
32,-59,217
9,-83,228
-12,-96,247
-14,-100,256
1,-95,255
33,-53,245
-18,-107,251
-10,-99,265
22,-54,254
49,-47,232
36,-53,215
10,-82,229
-20,-105,242
-12,-105,270
18,-70,256
37,-47,234
41,-48,221
11,-62,218
-10,-103,251
-17,-109,258
21,-66,252
44,-48,230
36,-55,218
-10,-100,240
-16,-107,254
24,-76,254
52,-46,231
32,-59,220
-8,-101,235
-18,-108,254
22,-72,252
50,-49,230
37,-53,215
-3,-82,233
-21,-111,262
0,-87,253
23,-55,248
42,-47,235
38,-42,206
27,-48,207
3,-92,255
20,-70,251
36,-42,230
40,-48,214
35,-64,218
-1,-80,230
-14,-108,244
-7,-93,259
18,-74,253
36,-41,225
42,-48,214
12,-60,220
-13,-98,249
-17,-105,255
21,-70,250
37,-49,235
36,-50,211
-7,-91,235
-21,-105,258
17,-67,253
42,-50,234
40,-48,207
19,-74,224
-10,-101,248
-14,-111,262
-10,-99,265
17,-68,254
31,-52,240
43,-47,215
30,-60,215
-6,-98,230
-10,-111,263
1,-87,260
29,-61,250
34,-51,232
-12,-105,252
7,-86,250
35,-51,240
37,-46,219
15,-62,220
-9,-97,245
-5,-98,268
24,-49,250
43,-46,210
14,-62,217
-14,-102,244
-7,-99,265
21,-47,245
42,-45,215
29,-65,221
-10,-98,246
-17,-105,260
11,-68,254
39,-45,234
41,-49,219
17,-68,219
-13,-103,246
-6,-98,260
20,-48,249
44,-45,217
33,-65,216
-4,-99,241
-11,-102,254
1,-77,260
36,-51,239
42,-48,213
23,-58,215
